ensembl_id,display_symbol,symbol_annotation_conflict,all_observed_symbols,in_DNA_damage_response_GO0006974,in_DNA_repair_GO0006281,GO_membership,gene_symbol__Heart / Heart right ventricle,log2fc__Heart / Heart right ventricle,wald_z__Heart / Heart right ventricle,sample_fdr__Heart / Heart right ventricle,gene_symbol__Retina,log2fc__Retina,wald_z__Retina,sample_fdr__Retina,gene_symbol__Spleen-distal,log2fc__Spleen-distal,wald_z__Spleen-distal,sample_fdr__Spleen-distal,gene_symbol__Bone marrow,log2fc__Bone marrow,wald_z__Bone marrow,sample_fdr__Bone marrow,gene_symbol__Femoral skin,log2fc__Femoral skin,wald_z__Femoral skin,sample_fdr__Femoral skin,gene_symbol__Cecum,log2fc__Cecum,wald_z__Cecum,sample_fdr__Cecum,final_integrated_z,final_integrated_p,final_fdr,n_positive_effects,n_negative_effects,effect_pattern,sample_FDR_filter_applied,final_test_family,mean_abs_log2fc,min_abs_log2fc,mean_log2fc,min_log2fc,max_log2fc,common_direction,pooled_rank,rank_scope,ranking_score,direction_display_order,display_order
ENSMUSG00000020122,EGFR,False,EGFR,True,True,damage+repair,EGFR,0.296465510749165,1.212710813414473,0.952336222778813,EGFR,0.1556351135870777,1.548829041055613,0.7685664021993422,EGFR,1.44123890965532,2.76829306021043,0.201103876496319,EGFR,0.240623936092001,0.59307611944105,0.72643505065987,EGFR,0.0848510512031511,0.457052869571834,0.998268540711167,EGFR,0.406089555978535,2.20305010351611,0.939613705906446,3.5856496370668642,0.0003362401357730374,0.026113256233247704,6,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.43748401287754163,0.0848510512031511,0.43748401287754163,0.0848510512031511,1.44123890965532,common_up,3,direction-ordered display of pooled Top 30,0.0848510512031511,0,1
ENSMUSG00000057329,BCL2,False,BCL2,True,False,damage,BCL2,0.19831231390418902,1.1654638242889952,0.9436471423739055,BCL2,0.07251344227729772,0.7532511942855246,0.8773380965162862,BCL2,0.0474374977490866,0.469239913929535,0.931056566452047,BCL2,0.300931388036807,2.32215548381812,0.0809360894854924,BCL2,0.556506724869205,2.19853217263232,0.824214688439958,BCL2,0.24166731436773,0.52682457400875,1.0,3.0355167580799347,0.0024012387899081124,0.0741715981771617,6,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.23622811353405257,0.0474374977490866,0.23622811353405257,0.0474374977490866,0.556506724869205,common_up,5,direction-ordered display of pooled Top 30,0.0474374977490866,0,2
ENSMUSG00000030717,NUPR1,False,NUPR1,True,False,damage,NUPR1,0.34077593481911,1.501806525857455,0.9406383891189476,NUPR1,0.24351267774360036,0.387797830464948,0.8572744799597226,NUPR1,0.557965879405901,3.68493967912814,0.0379360267853972,NUPR1,0.29189964709519,1.16380376968646,0.439731287300157,NUPR1,0.0449101466887062,0.185034118516772,0.999449964473522,NUPR1,1.84876138635485,3.51588305324233,0.385359640595485,4.261812080517114,2.027759272859688e-05,0.005637170778549932,6,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.554637612017893,0.0449101466887062,0.554637612017893,0.0449101466887062,1.84876138635485,common_up,6,direction-ordered display of pooled Top 30,0.0449101466887062,0,3
ENSMUSG00000046295,ANKLE1,False,ANKLE1,True,True,damage+repair,ANKLE1,-1.1160771966599117,-1.2688187595994525,0.943665443708608,ANKLE1,-0.8115979647234187,-1.747063105655132,0.9223207149653374,ANKLE1,-1.26571247398081,-1.4362112640878,,ANKLE1,-0.603040430715675,-3.42367047223099,0.0059574214727626,ANKLE1,-0.927450743103873,-1.52715277335225,0.963227883430885,ANKLE1,-0.830801594320564,-1.99757415368284,0.974796649524746,-4.654230768753869,3.251924366928008e-06,0.0027121049220179584,0,6,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.9257800672507086,0.603040430715675,-0.9257800672507086,-1.26571247398081,-0.603040430715675,common_down,1,direction-ordered display of pooled Top 30,0.603040430715675,1,4
ENSMUSG00000048668,RHNO1,False,RHNO1,True,True,damage+repair,RHNO1,-0.180563406981053,-1.2805439062291235,0.9399342143721565,RHNO1,-0.15815942287697302,-2.006099960194055,0.6068559104723132,RHNO1,-0.192438690801847,-0.834823775778827,0.863318990502252,RHNO1,-0.388260512026814,-4.06318034619644,0.0008052104745715,RHNO1,-0.293411404139587,-1.52959174324686,0.96259206462852,RHNO1,-0.201369302592322,-1.06455891434731,1.0,-4.400426120480687,1.0803850735581014e-05,0.004505205756737283,0,6,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.23570045656976601,0.15815942287697302,-0.23570045656976601,-0.388260512026814,-0.15815942287697302,common_down,2,direction-ordered display of pooled Top 30,0.15815942287697302,1,5
ENSMUSG00000027326,KNL1,False,KNL1,True,False,damage,KNL1,-0.8554730498923907,-1.4913027479529024,0.777989632065352,KNL1,-0.0509189150263004,0.24250910506694653,0.8214595083513802,KNL1,-0.789531989427776,-3.26815048349814,0.0963609039131702,KNL1,-0.291107488596147,-2.16600832443115,0.107566947539228,KNL1,-0.842812080286135,-1.71265392761574,0.91007267310573,KNL1,-0.128040592539835,-0.37203131552153,1.0,-3.579373099962641,0.0003444194467214925,0.026113256233247704,0,6,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.4929806859614307,0.0509189150263004,-0.4929806859614307,-0.8554730498923907,-0.0509189150263004,common_down,4,direction-ordered display of pooled Top 30,0.0509189150263004,1,6
ENSMUSG00000051768,XRCC1,False,XRCC1,True,True,damage+repair,XRCC1,-0.016242344526133698,-0.149014941616056,0.9834233510407995,XRCC1,-0.0359455877031723,-0.9370849253805278,0.741506923781034,XRCC1,-0.0550603607256773,-0.215186905315748,0.971858282206654,XRCC1,-0.347262393983749,-3.45300191175025,0.0054596403476994,XRCC1,-0.0297120577004343,-0.143507341648218,0.999449964473522,XRCC1,-0.531483127284194,-2.18197248366499,0.949124716452214,-2.8903033908325577,0.003848701913962293,0.09440639400719272,0,6,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.16928431198722674,0.016242344526133698,-0.16928431198722674,-0.531483127284194,-0.016242344526133698,common_down,7,direction-ordered display of pooled Top 30,0.016242344526133698,1,7
ENSMUSG00000010067,RASSF1,False,RASSF1,True,False,damage,RASSF1,-0.005359730070307902,-0.05175367676708198,0.9657646325470285,RASSF1,-0.03229429357321885,-0.5629668071259974,0.8712761847575096,RASSF1,-0.19246424955173,-1.26489903784095,0.73902059448407,RASSF1,-0.27799994924745,-2.91752755571717,0.0223000036231846,RASSF1,-0.0484944791504532,-0.503158344758149,0.998268540711167,RASSF1,-0.361630986558629,-2.26133997680034,0.930959704913944,-3.0870288072396406,0.0020216800362257395,0.07014891589687088,0,6,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.15304061469196484,0.005359730070307902,-0.15304061469196484,-0.361630986558629,-0.005359730070307902,common_down,8,direction-ordered display of pooled Top 30,0.005359730070307902,1,8
ENSMUSG00000032815,FANCA,False,FANCA,True,True,damage+repair,FANCA,-0.4078299020717505,-1.624610615817625,0.938071578914038,FANCA,-0.0022635917236585035,-0.389511108772037,0.7401934134936294,FANCA,-0.425949461802787,-1.34532021289078,0.708125054143139,FANCA,-0.235571312424324,-2.30486165645444,0.0837577320722587,FANCA,-0.659260108188728,-1.47576017146867,0.975754142906593,FANCA,-0.38214353354195,-0.967974993800397,1.0,-3.3100929624597533,0.0009326499032614125,0.04644654549296296,0,6,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.352169651625533,0.0022635917236585035,-0.352169651625533,-0.659260108188728,-0.0022635917236585035,common_down,9,direction-ordered display of pooled Top 30,0.0022635917236585035,1,9
ENSMUSG00000025507,PIDD1,False,PIDD1,True,False,damage,PIDD1,-0.20305316009531735,-0.531466214336776,0.9773652723042541,PIDD1,-0.0017681213740593019,-0.1743281516904629,0.8339841770080986,PIDD1,-0.223186698029624,-0.337471816689031,,PIDD1,-0.531450046234206,-3.40322381657848,0.0063219510262228,PIDD1,-0.342836649172979,-0.86565027895487,0.998268540711167,PIDD1,-0.70936085016842,-2.15287847489115,0.949124716452214,-3.047581144250398,0.0023069123270919862,0.07399864926133524,0,6,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.3352759208457676,0.0017681213740593019,-0.3352759208457676,-0.70936085016842,-0.0017681213740593019,common_down,10,direction-ordered display of pooled Top 30,0.0017681213740593019,1,10
