analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Quadriceps femoris,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.52468463744304,1.52468463744304,1,0,1,5.19985484252323,1.99444223965187e-07,SpaceX-21,1,9.25991039838367e-07
Tibialis anterior,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.50931996857433,1.50931996857433,1,0,1,4.82269207459129,1.41633532874942e-06,SpaceX-21,1,5.93947073346531e-06
Optic nerve,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.50286815241866,1.50286815241866,1,0,1,5.12316107133158,3.00455474437923e-07,SpaceX-27,1,1.34686936817e-06
Spleen,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.27792868534236,1.27792868534236,1,0,1,2.90307652727422,0.00369516330508167,SpaceX-21,1,0.00960742459321235
Femoral lateral skin,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.2341511681674,1.2341511681674,1,0,1,2.78845773560015,0.00529596571713506,SpaceX-11,1,0.0131555836285521
Left lobe of the liver,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,2,2,3,1.19478897942653,1.19478897942653,2,0,0.5,3.62890398957394,0.000284627064485975,SpaceX-16;SpaceX-21,1,0.000867223087105704
Colon,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.05535514408818,1.05535514408818,1,0,1,1.39812888366542,0.162074367684766,SpaceX-21,1,0.259053292610897
Cerebellum,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.05300323649771,1.05300323649771,1,0,1,1.15967791288282,0.246179966044141,SpaceX-21,1,0.349127951844418
Heart,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,1,1,1,1.05087532611825,1.05087532611825,1,0,1,1.32441319821694,0.185365853658537,NG-11,1,0.285741829750314
Kidney,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,4,5,9,1.01418434875789,0.635573820912754,2,2,0.5,4.17787621360213,2.94243711193058e-05,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.00010724770781803
