accession,analysis_tissue,n_ground_samples,n_flight_samples,usable,note
OSD-100,Eye,6,6,True,
OSD-101,Gastrocnemius,6,6,True,
OSD-104,Soleus,6,6,True,
OSD-137,Liver,6,6,True,
OSD-161,Adrenal gland,5,5,True,
OSD-162,Eye,5,5,True,
OSD-163,Kidney,6,6,True,
OSD-194,Retina,4,5,True,
OSD-239,Femoral skin,3,2,True,
OSD-240,Dorsal skin,10,10,True,
OSD-241,Femoral lateral skin,10,9,True,
OSD-242,Liver,4,5,True,
OSD-253,Kidney,19,20,True,
OSD-254,Dorsal skin,20,20,True,
OSD-255,Retina,8,8,True,
OSD-289,Thymus,6,6,True,
OSD-379,Left lobe of the liver,15,15,True,
OSD-397,Retina,7,9,True,
OSD-419,Gastrocnemius,8,4,True,
OSD-420,Spleen-distal,10,10,True,
OSD-421,Thymus,10,10,True,
OSD-462,Kidney,10,10,True,
OSD-463,Left lobe of the liver,9,9,True,
OSD-464,Lung,8,9,True,
OSD-47,Liver,3,3,True,
OSD-48,Liver,2,2,True,
OSD-506,Spleen,8,9,True,
OSD-511,Mammary gland,15,10,True,
OSD-512,Adrenal gland,9,9,True,
OSD-513,Kidney,9,9,True,
OSD-515,Thymus,9,7,True,
OSD-525,Cerebellum,9,9,True,
OSD-576,Tibialis anterior,9,9,True,
OSD-580,Heart / Heart right ventricle,20,10,True,
OSD-599,Heart,3,3,True,
OSD-665,Extensor digitorum longus,9,9,True,
OSD-666,Quadriceps femoris,9,9,True,
OSD-667,Colon,5,4,True,
OSD-686,Liver,3,3,True,
OSD-690,Bone marrow,6,6,True,
OSD-714,Soleus,3,3,True,
OSD-758,Retina,12,5,True,
OSD-759,Optic nerve,12,5,True,
OSD-770,Soleus,9,9,True,
OSD-771,Kidney,20,10,True,
OSD-899,Cecum,5,5,True,
OSD-900,Lung,5,5,True,
OSD-99,Extensor digitorum longus,6,6,True,
