analysis_tissue,pathway_1_key,pathway_2_key,fisher_z,z_capped
Adrenal gland,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.6559553454176952,False
Bone marrow,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.7631802623080806,False
Cecum,DNA_damage_response_GO0006974,DNA_repair_GO0006281,5.0,True
Cerebellum,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.0121908822484043,False
Dorsal skin,DNA_damage_response_GO0006974,DNA_repair_GO0006281,2.382322506610085,False
Extensor digitorum longus,DNA_damage_response_GO0006974,DNA_repair_GO0006281,0.6931471805599453,False
Eye,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.2399963174927857,False
Femoral lateral skin,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.8317808230648227,False
Gastrocnemius,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.8475550019322864,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.1156787918528388,False
Kidney,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.70418937053541,False
Left lobe of the liver,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.809943291313492,False
Liver,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.7410723287330596,False
Lung,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.307873125373406,False
Mammary gland,DNA_damage_response_GO0006974,DNA_repair_GO0006281,5.0,True
Optic nerve,DNA_damage_response_GO0006974,DNA_repair_GO0006281,5.0,True
Quadriceps femoris,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.0986122886681098,False
Retina,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.374578209593256,False
Soleus,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.0225369490878142,False
Spleen,DNA_damage_response_GO0006974,DNA_repair_GO0006281,5.0,True
Spleen-distal,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.8475550019322864,False
Thymus,DNA_damage_response_GO0006974,DNA_repair_GO0006281,2.4161528792859186,False
Tibialis anterior,DNA_damage_response_GO0006974,DNA_repair_GO0006281,0.4639933858186732,False
Adrenal gland,DNA_damage_response_GO0006974,DNA_damage_signal_transduction_GO0042770,1.1835618070658085,False
