accession,osdr_study_url,dataset_api_url,files_api_url,metadata_download_url,metadata_zip_filename,metadata_zip_sha256,metadata_zip_size_bytes,downloaded_at_utc,api_project_identifiers,api_mission_names,api_mission_start_dates,api_mission_end_dates,isa_source_tables,n_isa_source_rows,age_source_field,sex_source_field,spaceflight_source_field,launch_mission_source_field,space_mission_source_field
OSD-100,https://osdr.nasa.gov/bio/repo/data/studies/OSD-100/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-100/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-100/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-100/download?source=datamanager&file=OSD-100_metadata_OSD-100-ISA.zip,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,75613,2026-08-30 12:55:53 UTC,"",SpaceX-4,9/21/14,10/25/14,s_OSD-100.txt,12,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-101,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,RR-1,SpaceX-4,9/21/14,10/25/14,s_OSD-101.txt,16,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-104,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-104/download?source=datamanager&file=OSD-104_metadata_OSD-104-ISA.zip,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,81627,2026-08-30 12:55:53 UTC,RR-1,SpaceX-4,9/21/14,10/25/14,s_OSD-104.txt,12,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],Characteristics[Launch Mission],""
OSD-137,https://osdr.nasa.gov/bio/repo/data/studies/OSD-137/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-137/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-137/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-137/download?source=datamanager&file=OSD-137_metadata_OSD-137-ISA.zip,OSD-137_metadata_OSD-137-ISA.zip,28affc65bdadb2d3426c1f72f287b9801bf09af9f1c9f1f7b3858f49fffaf2e6,129037,2026-08-30 12:55:53 UTC,RR-3,SpaceX-8,4/8/2016,5/11/2016,s_OSD-137.txt,19,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-161,https://osdr.nasa.gov/bio/repo/data/studies/OSD-161/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-161/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-161/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-161/download?source=datamanager&file=OSD-161_metadata_GLDS-161-ISA.zip,OSD-161_metadata_GLDS-161-ISA.zip,62453f6f29148370098909d912cb9ce0cf37df0cb0d33fb278190ae2c68e3f91,143725,2026-08-30 12:55:53 UTC,RR-3,SpaceX-8,04/08/2016,05/11/2016,s_OSD-161.txt,33,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],Characteristics[Launch Mission],""
OSD-162,https://osdr.nasa.gov/bio/repo/data/studies/OSD-162/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-162/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-162/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-162/download?source=datamanager&file=OSD-162_metadata_OSD-162-ISA.zip,OSD-162_metadata_OSD-162-ISA.zip,1ae12b51b819aa7cefca0593ff11a2a1082808ddc763af43053b74c951596705,126808,2026-08-30 12:55:53 UTC,RR-3,SpaceX-8,04/08/2016,05/11/2016,s_OSD-162.txt,21,Characteristics[Age at launch],Characteristics[Sex],Factor Value[Spaceflight],Characteristics[Launch Mission],""
OSD-163,https://osdr.nasa.gov/bio/repo/data/studies/OSD-163/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-163/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-163/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-163/download?source=datamanager&file=OSD-163_metadata_GLDS-163-ISA.zip,OSD-163_metadata_GLDS-163-ISA.zip,df871a4473c09f8342a43d1a7ec98200e413eb0745c755320d73d5f16ecd01d8,135684,2026-08-30 12:55:53 UTC,RR-3,SpaceX-8,04/08/2016,05/11/2016,s_OSD-163.txt,19,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-194,https://osdr.nasa.gov/bio/repo/data/studies/OSD-194/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-194/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-194/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-194/download?source=datamanager&file=OSD-194_metadata_OSD-194-ISA.zip,OSD-194_metadata_OSD-194-ISA.zip,7c501aaee3f4f79b4b94cc6174c85d03ffe930f00f7934a0b219657b08712375,86443,2026-08-30 12:55:53 UTC,RR-3,SpaceX-8,04/08/2016,05/11/2016,s_OSD-194.txt,13,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-239,https://osdr.nasa.gov/bio/repo/data/studies/OSD-239/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-239/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-239/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-239/download?source=datamanager&file=OSD-239_metadata_OSD-239-ISA.zip,OSD-239_metadata_OSD-239-ISA.zip,383737322f5cd8799750a2d6525da3c138ff8f73ebb32e13b4c0cc184227aeb0,129240,2026-08-30 12:55:53 UTC,MHU-2,SpaceX-12,8/14/17,9/17/17,s_OSD-239.txt,23,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-240,https://osdr.nasa.gov/bio/repo/data/studies/OSD-240/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-240/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-240/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-240/download?source=datamanager&file=OSD-240_metadata_OSD-240-ISA.zip,OSD-240_metadata_OSD-240-ISA.zip,75780d4f2f84ecdcd38e9155d922da8aa06b25d2e809edfd50a6f5fa57d17c9f,117083,2026-08-30 12:55:53 UTC,RR-5,SpaceX-11,6/3/17,7/3/17,s_OSD-240.txt,20,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
