accession,n_selected_sample_columns,n_unique_mice,age_source_fields,age_values_raw,age_labels,n_age_range_samples,sex_values_raw,api_missions,canonical_missions,source_launch_missions
OSD-100,12,12,Characteristics[Age at Launch],16 {week},16 wk,0,Female,SpaceX-4,SpaceX-4,""
OSD-101,12,12,Characteristics[Age at Launch],16 {week},16 wk,0,Female,SpaceX-4,SpaceX-4,""
OSD-104,12,12,Characteristics[Age at Launch],16 {week},16 wk,0,Female,SpaceX-4,SpaceX-4,SpaceX-4
OSD-137,12,12,Characteristics[Age at Launch],12 {week},12 wk,0,Female,SpaceX-8,SpaceX-8,""
OSD-161,10,10,Characteristics[Age at Launch],12 {week},12 wk,0,Female,SpaceX-8,SpaceX-8,SpaceX-8
OSD-162,10,10,Characteristics[Age at launch],12 {week},12 wk,0,Female,SpaceX-8,SpaceX-8,SpaceX-3
OSD-163,12,12,Characteristics[Age at Launch],12 {week},12 wk,0,Female,SpaceX-8,SpaceX-8,""
OSD-194,9,9,Characteristics[Age at Launch],12 {week},12 wk,0,Female,SpaceX-8,SpaceX-8,""
OSD-239,5,5,Characteristics[Age at Launch],9 {week},9 wk,0,Male,SpaceX-12,SpaceX-12,""
OSD-240,20,20,Characteristics[Age at Launch],30 {week},30 wk,0,Female,SpaceX-11,SpaceX-11,""
OSD-241,19,19,Characteristics[Age at Launch],30 {week},30 wk,0,Female,SpaceX-11,SpaceX-11,""
OSD-242,9,9,Characteristics[Age at Launch],10 {week},10 wk,0,Male,SpaceX-12,SpaceX-12,""
OSD-253,39,39,Characteristics[Age at Launch],11 {week},11 wk,0,Female,SpaceX-15,SpaceX-15,""
OSD-254,40,40,Characteristics[Age at Launch],11 {week},11 wk,0,Female,SpaceX-15,SpaceX-15,""
OSD-255,16,16,Characteristics[Age at Launch],10 {week},10 wk,0,Male,SpaceX-12,SpaceX-12,""
OSD-289,12,12,Characteristics[Age at Launch],8 {week};9 {week},8 wk;9 wk,0,Male,SpaceX-9;SpaceX-12,SpaceX-12;SpaceX-9,""
OSD-379,30,30,Factor Value[Age],10 to 12 {week};32 {week},10–12 wk;32 wk,16,Female,SpaceX-16,SpaceX-16,""
OSD-397,16,16,Characteristics[Age at Launch],16 {week},16 wk,0,Female,SpaceX-4,SpaceX-4,""
OSD-419,12,12,Characteristics[Age at Launch],16 {week},16 wk,0,Female,SpaceX-4,SpaceX-4,""
OSD-420,20,20,Characteristics[Age at Launch],10 {week},10 wk,0,Male,SpaceX-12,SpaceX-12,""
OSD-421,20,20,Characteristics[Age at Launch],10 {week},10 wk,0,Male,SpaceX-12,SpaceX-12,""
OSD-462,20,20,Characteristics[Age at Launch],14 - 15 {week},14–15 wk,20,Female,SpaceX-21,SpaceX-21,SpaceX-21
OSD-463,18,18,Characteristics[Age at Launch],16-17 {week},16–17 wk,18,Male,SpaceX-21,SpaceX-21,""
