sample_column,sample_name_normalized,mouse_id,sample_status,isa_spaceflight_raw,isa_status_matches_analysis,sample_is_technical_replicate,Group,analysis_unit_id,accession,input_relative_path,mission_cluster,mission_source,api_mission_names,source_space_mission_raw,launch_mission_raw,launch_mission_conflict,sex,sex_raw,age_value_raw,age_unit_raw,age_raw,age_label,age_order_weeks,age_is_range,age_source_field,organism_raw,source_material_type,metadata_match_method,isa_source_table,metadata_zip_filename,metadata_zip_sha256,euthanasia_after_landing_days,euthanasia_timing_category,euthanasia_scope
Mmus_C57-6J_EYE_FLT_Rep1_M23,Mmus_C57-6J_EYE_FLT_Rep1_M23,RR1_FLT_M23,Flight,Space Flight,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_FLT_Rep2_M24,Mmus_C57-6J_EYE_FLT_Rep2_M24,RR1_FLT_M24,Flight,Space Flight,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_FLT_Rep3_M25,Mmus_C57-6J_EYE_FLT_Rep3_M25,RR1_FLT_M25,Flight,Space Flight,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_FLT_Rep4_M26,Mmus_C57-6J_EYE_FLT_Rep4_M26,RR1_FLT_M26,Flight,Space Flight,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_FLT_Rep5_M27,Mmus_C57-6J_EYE_FLT_Rep5_M27,RR1_FLT_M27,Flight,Space Flight,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_FLT_Rep6_M28,Mmus_C57-6J_EYE_FLT_Rep6_M28,RR1_FLT_M28,Flight,Space Flight,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_GC_Rep1_M33,Mmus_C57-6J_EYE_GC_Rep1_M33,RR1_GC_M33,Ground,Ground Control,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_GC_Rep2_M34,Mmus_C57-6J_EYE_GC_Rep2_M34,RR1_GC_M34,Ground,Ground Control,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_GC_Rep3_M35,Mmus_C57-6J_EYE_GC_Rep3_M35,RR1_GC_M35,Ground,Ground Control,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
Mmus_C57-6J_EYE_GC_Rep4_M36,Mmus_C57-6J_EYE_GC_Rep4_M36,RR1_GC_M36,Ground,Ground Control,TRUE,FALSE,Eye,OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,left eye,exact ISA Sample Name,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,,not_stated,n/a
