accession,title,mission_name,category,confidence,euthanasia_after_landing_days,euthanasia_group_scope,evidence_sentence,evidence_sentence_1,evidence_sentence_2,evidence_sentence_count,source_field,notes
OSD-100,Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; tissue 'stored at least a year at -80C after return to Earth'; no post-landing euthanasia timing.
OSD-101,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data",SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; tissue 'stored at least a year at -80C after return to Earth'; no post-landing euthanasia timing.
OSD-104,Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; tissue 'stored at least a year at -80C after return to Earth'; no post-landing euthanasia timing.
OSD-137,"Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data",SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.
OSD-161,"Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.
OSD-162,Rodent Research-3-CASIS: Mouse eye transcriptomic and proteomic data,SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.
OSD-163,"Rodent Research-3-CASIS: Mouse kidney transcriptomic, proteomic, and epigenomic data",SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.
OSD-194,Rodent Research-3-CASIS: Mouse retina transcriptomic data,SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.
OSD-239,Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission,SpaceX-12,post_landing,explicit,<1,flight,Mice were returned live and euthanized and dissected less than 1 day after splashdown.,Mice were returned live and euthanized and dissected less than 1 day after splashdown.,,1,description,Returned live; euthanized and dissected <1 day after splashdown.
OSD-240,Transcriptional analysis of dorsal skin from mice flown on the RR-5 mission,SpaceX-11,post_landing,explicit,30,flight (LAR),Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,,1,description,Live animal return; 30-day recovery before euthanasia (ketamine/xylazine).
OSD-241,Transcriptional analysis of femoral skin from mice flown on the RR-5 mission,SpaceX-11,post_landing,explicit,30,flight (LAR),Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,,1,description,Live animal return; 30-day recovery before euthanasia (ketamine/xylazine).
OSD-242,Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis,SpaceX-12,post_landing_date_derived,conditional_date_derived,1-2,flight,"After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia and dissection on 9/18/2018.","After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia and dissection on 9/18/2018.",,1,description,"Description gives euthanasia on 9/18/2018, while the same fresh API record identifies the SpaceX-12 mission as ending 9/17/2017; the year is a source typo and the description alone cannot determine an exact integer interval. Record as conditional ~1-2 d, not a confirmed 2 d."
OSD-253,Transcriptional analysis of kidneys from mice flown on the RR-7 mission,SpaceX-15,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.","After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.",,1,description,"RR-7: half euthanized on the ISS after 25 d, the rest after 75-76 d; carcasses returned on SpX-15/16. Post-landing time not applicable."
OSD-254,Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission,SpaceX-15,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.","After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.",,1,description,RR-7 (dorsal skin): same on-orbit schedule as OSD-253. Post-landing time not applicable.
OSD-255,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",SpaceX-12,not_stated,not_stated,,n/a,,,,0,description,Description states the study purpose only; no euthanasia timing.
OSD-289,Impact of spaceflight on gene expression in the thymus,"SpaceX-9, SpaceX-12",not_stated,not_stated,,n/a,,,,0,description,Description states the study purpose only; no euthanasia timing.
