accession,repo_study_url,fetched_at_utc,fetch_status,fresh_sha256,june_cache_sha256,description_matches_june,study_version,modified_date
OSD-100,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-100,2026-09-01T10:30:38Z,ok,94e06bb6cc08b4f782595ca7d03f9af0a75590b45ac428b07dc613a26b00ee33,94e06bb6cc08b4f782595ca7d03f9af0a75590b45ac428b07dc613a26b00ee33,True,6,24-Apr-2026
OSD-101,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-101,2026-09-01T10:30:40Z,ok,a0431e288b68ca544b2a347ceea0c0749115e91f715702a09ef52866fb9902a8,a0431e288b68ca544b2a347ceea0c0749115e91f715702a09ef52866fb9902a8,True,12,17-Feb-2026
OSD-104,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-104,2026-09-01T10:30:41Z,ok,6637ff405702c48b175c576cdf2c82785e605ab1b4c56b3a0945a56ea0f1d277,6637ff405702c48b175c576cdf2c82785e605ab1b4c56b3a0945a56ea0f1d277,True,9,18-Feb-2026
OSD-137,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137,2026-09-01T10:30:43Z,ok,67f3192b9ea699f8fc97e4288a61220202d7fd7ec59e7392d206282e5dfac4c5,fae8124b5e873115d6b62c3500b326611ba45c8647a6bef6bc32bbb4b25e37e0,True,10,31-Aug-2026
OSD-161,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-161,2026-09-01T10:30:45Z,ok,3fcb1d19c69d99f4bbe0e75bad2658cffe8fe2bfcb6ef06d2d1e12d57d476e7e,3fcb1d19c69d99f4bbe0e75bad2658cffe8fe2bfcb6ef06d2d1e12d57d476e7e,True,9,18-Feb-2026
OSD-162,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-162,2026-09-01T10:30:47Z,ok,ff693e15577d5fa6d3835b84e36ce54cecebf0c19936a49faa1d0071df0c1c54,187c308607f52eb37e370e0598507bf5b6cb767b8e78986e67e249dbecdda533,True,8,17-Jun-2026
OSD-163,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-163,2026-09-01T10:30:49Z,ok,89f2370b4d1cd3395a9d01ec1263d7315aa9b314aec5bdc25447444f2f17ac0f,89f2370b4d1cd3395a9d01ec1263d7315aa9b314aec5bdc25447444f2f17ac0f,True,11,17-Feb-2026
OSD-194,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-194,2026-09-01T10:30:51Z,ok,08bad4e498797b7fcfbb5ca39100a5e8029729d61ffa1cab6b0da368257cc02c,1567816a61508cbba30673ad5b29d96ad0c7824d23f9c2edc6825124dd672f38,True,12,30-Jun-2026
OSD-239,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-239,2026-09-01T10:30:53Z,ok,9b9a15c617212ae00424f4ae8c8202dcd94bd97eeae806082a463dce522292fb,c2bb903ea084742d6a30ffeb7a60b70d4d07621ad0c9597a6cf0b2016ffea336,False,10,02-Jul-2026
OSD-240,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-240,2026-09-01T10:30:55Z,ok,f9cc0b35b5d522bae96136f4182774afc0c894c0557e0a4fa07709dd8325e26c,29107fa4ce03fa4a902655aad2de6dd895bf9bea7530b2ea4510b76b0892966a,True,10,23-Jul-2026
