accession,title,mission_name,category,confidence,euthanasia_after_landing_days,euthanasia_group_scope,evidence_sentence,evidence_sentence_1,evidence_sentence_2,evidence_sentence_count,source_field,notes,tissue_collection_after_landing_days,tissue_collection_timing_category,tissue_collection_scope,tissue_collection_confidence,tissue_collection_source_field,tissue_collection_source_value,tissue_collection_evidence_sentence,tissue_collection_evidence_sentence_1,tissue_collection_evidence_sentence_2,tissue_collection_evidence_sentence_count,tissue_collection_notes
OSD-100,Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; tissue 'stored at least a year at -80C after return to Earth'; no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-101,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data",SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; tissue 'stored at least a year at -80C after return to Earth'; no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-104,Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; tissue 'stored at least a year at -80C after return to Earth'; no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-137,"Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data",SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.,Space Flight=125-127,post_landing_api_dissection_date_derived,Basal Control; Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[Dissection Date],Comment[Dissection Date] [Basal Control]: 13-Sep-2016 (n=4); 14-Sep-2016 (n=2) | Comment[Dissection Date] [Ground Control]: 13-Sep-2016 (n=2); 14-Sep-2016 (n=2); 15-Sep-2016 (n=2) | Comment[Dissection Date] [Space Flight]: 13-Sep-2016 (n=2); 14-Sep-2016 (n=2); 15-Sep-2016 (n=2),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '5/11/2016'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-161,"Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.,Space Flight=125-127,post_landing_api_dissection_date_derived,Basal Control; Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[Dissection date],Comment[Dissection date] [Basal Control]: 13-Sep-2016 (n=4); 14-Sep-2016 (n=3); 15-Sep-2016 (n=3) | Comment[Dissection date] [Ground Control]: 13-Sep-2016 (n=2); 14-Sep-2016 (n=3); 15-Sep-2016 (n=3); 16-Sep-2016 (n=2) | Comment[Dissection date] [Space Flight]: 13-Sep-2016 (n=2); 14-Sep-2016 (n=2); 15-Sep-2016 (n=1),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '05/11/2016'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-162,Rodent Research-3-CASIS: Mouse eye transcriptomic and proteomic data,SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.,Space Flight=125-127,post_landing_api_dissection_date_derived,Basal Control; Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[Dissection date],Comment[Dissection date] [Basal Control]: 13-Sep-2016 (n=4); 14-Sep-2016 (n=3) | Comment[Dissection date] [Ground Control]: 13-Sep-2016 (n=2); 14-Sep-2016 (n=3); 15-Sep-2016 (n=2) | Comment[Dissection date] [Space Flight]: 13-Sep-2016 (n=2); 14-Sep-2016 (n=2); 15-Sep-2016 (n=2),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '05/11/2016'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-163,"Rodent Research-3-CASIS: Mouse kidney transcriptomic, proteomic, and epigenomic data",SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.,Space Flight=125-127,post_landing_api_dissection_date_derived,Basal Control; Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[Dissection Date],Comment[Dissection Date] [Basal Control]: 13-Sep-2016 (n=4); 14-Sep-2016 (n=2) | Comment[Dissection Date] [Ground Control]: 13-Sep-2016 (n=2); 14-Sep-2016 (n=3); 15-Sep-2016 (n=1) | Comment[Dissection Date] [Space Flight]: 13-Sep-2016 (n=1); 14-Sep-2016 (n=2); 15-Sep-2016 (n=3),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '05/11/2016'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-194,Rodent Research-3-CASIS: Mouse retina transcriptomic data,SpaceX-8,not_stated,not_stated,,n/a,,,,0,description,Description states animals 'were euthanized' but gives no number of days after landing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-239,Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission,SpaceX-12,post_landing,explicit,<1,flight,Mice were returned live and euthanized and dissected less than 1 day after splashdown.,Mice were returned live and euthanized and dissected less than 1 day after splashdown.,,1,description,Returned live; euthanized and dissected <1 day after splashdown.,<1,post_landing_explicit,flight,api_description_dissection_date,API samples.table: Comment[Euthanasia Date] | API description,Comment[Euthanasia Date] [Ground Control]: 23-Mar-2018 (n=6) | Comment[Euthanasia Date] [Space Flight]: 18-Sep-2017 (n=11) | Comment[Euthanasia Date] [Vivarium Control]: 23-Mar-2018 (n=6) | API description explicitly states dissection less than 1 day after splashdown,Mice were returned live and euthanized and dissected less than 1 day after splashdown. ... Femoral skin was dissected 30 minutes after euthanasia and snap frozen in liquid nitrogen.,Mice were returned live and euthanized and dissected less than 1 day after splashdown.,Femoral skin was dissected 30 minutes after euthanasia and snap frozen in liquid nitrogen.,2,"Uses the API description's explicit dissection timing; the value is reported as tissue acquisition timing, not inferred from the euthanasia date."
OSD-240,Transcriptional analysis of dorsal skin from mice flown on the RR-5 mission,SpaceX-11,post_landing,explicit,30,flight (LAR),Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,,1,description,Live animal return; 30-day recovery before euthanasia (ketamine/xylazine).,30,post_landing_euthanasia_proxy,flight LAR,api_sample_euthanasia_date_proxy,API samples.table: Comment[Euthanasia Date] | API description,Comment[Euthanasia Date] [Ground Control]: 02-Aug-2017 (n=10) | Comment[Euthanasia Date] [Space Flight]: 02-Aug-2017 (n=10) | API description: animals were allowed to recover for 30 days in standard habitats before euthanasia,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,,1,"The API description gives a 30-day live-animal-return recovery before euthanasia. Because tissue was obtained from these animals at the terminal procedure, report 30 d as a tissue-acquisition proxy; the description does not give a separate dissection timestamp."
OSD-241,Transcriptional analysis of femoral skin from mice flown on the RR-5 mission,SpaceX-11,post_landing,explicit,30,flight (LAR),Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,,1,description,Live animal return; 30-day recovery before euthanasia (ketamine/xylazine).,30,post_landing_euthanasia_proxy,flight LAR,api_sample_euthanasia_date_proxy,API samples.table: Comment[Euthanasia Date] | API description,Comment[Euthanasia Date] [Ground Control]: 02-Aug-2017 (n=10) | Comment[Euthanasia Date] [Space Flight]: 02-Aug-2017 (n=9) | API description: animals were allowed to recover for 30 days in standard habitats before euthanasia,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine.,,1,"The API description gives a 30-day live-animal-return recovery before euthanasia. Because tissue was obtained from these animals at the terminal procedure, report 30 d as a tissue-acquisition proxy; the description does not give a separate dissection timestamp."
OSD-242,Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis,SpaceX-12,post_landing_date_derived,conditional_date_derived,1-2,flight,"After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia and dissection on 9/18/2018.","After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia and dissection on 9/18/2018.",,1,description,"Description gives euthanasia on 9/18/2018, while the same fresh API record identifies the SpaceX-12 mission as ending 9/17/2017; the year is a source typo and the description alone cannot determine an exact integer interval. Record as conditional ~1-2 d, not a confirmed 2 d.",1-2,post_landing_date_conditional,flight,conditional_api_description_dissection_date,API samples.table: Comment[Euthanasia Date] | API description,Comment[Euthanasia Date] [Basal Control]: 15-Aug-2017 (n=4) | Comment[Euthanasia Date] [Cohort Control #1]: 22-Sep-2017 (n=5) | Comment[Euthanasia Date] [Cohort Control #2]: 24-Jun-2018 (n=4) | Comment[Euthanasia Date] [Ground Control]: 18-Jun-2018 (n=4) | Comment[Euthanasia Date] [Space Flight]: 18-Sep-2017 (n=5) | Comment[Euthanasia Date] [Vivarium Control]: 18-Jun-2018 (n=1) | API description: euthanasia and dissection on 9/18/2018; API missionEnd=9/17/17,"After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia and dissection on 9/18/2018.","After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia and dissection on 9/18/2018.",,1,"The API description gives the flight dissection date, but its year conflicts with the API mission record. Keep the conservative 1-2 d conditional range rather than a fixed integer."
