ComponentOrder,PathwayOrder,ComponentOrderWithinPathway,Pathway,PathwayDisplay,RequestedComponent,MappingStatus,LookupMouseSymbol,DisplayComponent,EnsemblID,MGI_ID,EntrezID,OfficialMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotComponentOrder,PlottedPathwayDisplay
1,1,1,NHEJ,NHEJ,DNA-PKcs,reviewed teacher label/alias -> official mouse symbol,Prkdc,Prkdc,ENSMUSG00000022672,MGI:104779,19090,Prkdc,protein_coding,DSB,1,1,NHEJ
2,1,2,NHEJ,NHEJ,Ku70,reviewed teacher label/alias -> official mouse symbol,Xrcc6,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,Xrcc6,protein_coding,DSB,2,2,NHEJ
3,1,3,NHEJ,NHEJ,Ku80,reviewed teacher label/alias -> official mouse symbol,Xrcc5,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,Xrcc5,protein_coding,DSB,3,3,NHEJ
4,1,4,NHEJ,NHEJ,XLF,reviewed teacher label/alias -> official mouse symbol,Nhej1,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,Nhej1,protein_coding,DSB,4,4,NHEJ
5,1,5,NHEJ,NHEJ,PAXX,reviewed teacher label/alias -> official mouse symbol,Paxx,Paxx,ENSMUSG00000047617,MGI:2442831,227622,Paxx,protein_coding,DSB,5,5,NHEJ
6,1,6,NHEJ,NHEJ,XRCC4,reviewed teacher label/alias -> official mouse symbol,Xrcc4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,Xrcc4,protein_coding,DSB,6,6,NHEJ
7,1,7,NHEJ,NHEJ,Ligase IV,reviewed teacher label/alias -> official mouse symbol,Lig4,Lig4,ENSMUSG00000049717,MGI:1335098,319583,Lig4,protein_coding,DSB,7,7,NHEJ
8,2,1,HR,HR,PRA1,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,Rpa1,protein_coding,DSB,8,8,HR
9,2,2,HR,HR,PRA2,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa2,Rpa2,ENSMUSG00000028884,MGI:1339939,19891,Rpa2,protein_coding,DSB,9,9,HR
10,2,3,HR,HR,PRA3,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa3,Rpa3,ENSMUSG00000012483,MGI:1915490,68240,Rpa3,protein_coding,DSB,10,10,HR
11,2,4,HR,HR,BRCA1,reviewed teacher label/alias -> official mouse symbol,Brca1,Brca1,ENSMUSG00000017146,MGI:104537,12189,Brca1,protein_coding,DSB,11,11,HR
12,2,5,HR,HR,BRCA2,reviewed teacher label/alias -> official mouse symbol,Brca2,Brca2,ENSMUSG00000041147,MGI:109337,12190,Brca2,protein_coding,DSB,12,12,HR
13,2,6,HR,HR,BARD1,reviewed teacher label/alias -> official mouse symbol,Bard1,Bard1,ENSMUSG00000026196,MGI:1328361,12021,Bard1,protein_coding,DSB,13,13,HR
14,2,7,HR,HR,PALB2,reviewed teacher label/alias -> official mouse symbol,Palb2,Palb2,ENSMUSG00000044702,MGI:3040695,233826,Palb2,protein_coding,DSB,14,14,HR
15,2,8,HR,HR,BLM,reviewed teacher label/alias -> official mouse symbol,Blm,Blm,ENSMUSG00000030528,MGI:1328362,12144,Blm,protein_coding,DSB,15,15,HR
16,2,9,HR,HR,Rad51,reviewed teacher label/alias -> official mouse symbol,Rad51,Rad51,ENSMUSG00000027323,MGI:97890,19361,Rad51,protein_coding,DSB,16,16,HR
17,2,10,HR,HR,Rad54,reviewed teacher label/alias -> official mouse symbol,Rad54l,Rad54l,ENSMUSG00000028702,MGI:894697,19366,Rad54l,protein_coding,DSB,17,17,HR
23,3,4,HR_A-EJ,HR–A-EJ,Exo1,reviewed teacher label/alias -> official mouse symbol,Exo1,Exo1,ENSMUSG00000039748,MGI:1349427,26909,Exo1,protein_coding,DSB,23,18,HR
