ComponentOrder,Group,Pathway,PathwayOrder,PathwayDisplay,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,DisplayComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,TissueYARNNormalizedLog2,TissueInputExpressionLog2,TissueSourceExpressionPlus1,MissionN,ObservedMissionN,AnalysisUnitN,FlightSampleN,TissueChinese,TissueLabel,TissueOrder,LookupMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotPathwayDisplay,PlotComponentOrder
1,Quadriceps femoris,NHEJ,1,NHEJ,1,DNA-PKcs,reviewed teacher label/alias -> official mouse symbol,Prkdc,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.7688383352466,10.8644467933848,1869.02165554208,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Prkdc,protein_coding,DSB,1,NHEJ,1
2,Quadriceps femoris,NHEJ,1,NHEJ,2,Ku70,reviewed teacher label/alias -> official mouse symbol,Xrcc6,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,10.3729341525088,10.4452536565288,1401.98584207118,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Xrcc6,protein_coding,DSB,2,NHEJ,2
3,Quadriceps femoris,NHEJ,1,NHEJ,3,Ku80,reviewed teacher label/alias -> official mouse symbol,Xrcc5,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,10.7359837151088,10.8241468438765,1833.02737065059,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Xrcc5,protein_coding,DSB,3,NHEJ,3
4,Quadriceps femoris,NHEJ,1,NHEJ,4,XLF,reviewed teacher label/alias -> official mouse symbol,Nhej1,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.77607695675698,7.72967741609059,213.587028895008,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Nhej1,protein_coding,DSB,4,NHEJ,4
5,Quadriceps femoris,NHEJ,1,NHEJ,5,PAXX,reviewed teacher label/alias -> official mouse symbol,Paxx,Paxx,ENSMUSG00000047617,MGI:2442831,227622,7.66911286014279,7.61189356313638,196.234637816117,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Paxx,protein_coding,DSB,5,NHEJ,5
6,Quadriceps femoris,NHEJ,1,NHEJ,6,XRCC4,reviewed teacher label/alias -> official mouse symbol,Xrcc4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.77430648238525,8.77063922838917,439.92767187859,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Xrcc4,protein_coding,DSB,6,NHEJ,6
7,Quadriceps femoris,NHEJ,1,NHEJ,7,Ligase IV,reviewed teacher label/alias -> official mouse symbol,Lig4,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.63955554961563,8.62962891298378,398.954867510064,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Lig4,protein_coding,DSB,7,NHEJ,7
8,Quadriceps femoris,HR,2,HR,1,PRA1,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,11.506887121886,11.6358844024172,3198.07927661812,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Rpa1,protein_coding,DSB,8,HR,8
9,Quadriceps femoris,HR,2,HR,2,PRA2,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa2,Rpa2,ENSMUSG00000028884,MGI:1339939,19891,9.65235055248857,9.68815713812528,834.522627638947,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Rpa2,protein_coding,DSB,9,HR,9
10,Quadriceps femoris,HR,2,HR,3,PRA3,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa3,Rpa3,ENSMUSG00000012483,MGI:1915490,68240,6.62824414354808,6.55378260528281,94.9446704849434,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Rpa3,protein_coding,DSB,10,HR,10
