Pathway,EnsemblID,Symbol,Df_group,Df_residual,F_value,P_value,Significance
NER,ENSMUSG00000030094,Xpc,25,334,81.0994433407542,9.87669503232231e-126,***
NER,ENSMUSG00000028426,Rad23b,25,334,62.8820913733851,2.16236457251457e-110,***
NER,ENSMUSG00000031347,Cetn2,25,334,36.9739644371682,7.52886076505048e-81,***
NER,ENSMUSG00000024740,Ddb1,25,334,68.5773293309316,1.52294598905788e-115,***
NER,ENSMUSG00000002109,Ddb2,25,334,39.6750111908447,1.49934957450448e-84,***
NER,ENSMUSG00000054051,Ercc6,25,334,41.7839941898043,2.57667700457038e-87,***
NER,ENSMUSG00000021694,Ercc8,25,334,26.6043612966226,1.32061728848492e-64,***
MMR,ENSMUSG00000024151,Msh2,25,334,46.4109204029841,4.88192391617055e-93,***
MMR,ENSMUSG00000014850,Msh3,25,334,37.2202132654441,3.39997231517501e-81,***
BER,ENSMUSG00000029591,Ung,25,334,37.7125551742854,7.01500358476976e-82,***
BER,ENSMUSG00000030271,Ogg1,25,334,36.6964240712335,1.85274675441519e-80,***
BER,ENSMUSG00000032298,Neil1,25,334,22.4594497702567,5.83624567997571e-57,***
FA,ENSMUSG00000034023,Fancd2,25,327,26.9291971696056,1.43073184609756e-64,***
FA,ENSMUSG00000039187,Fanci,25,330,34.5335655194206,6.81212944757974e-77,***
HR,ENSMUSG00000017146,Brca1,25,330,43.3327004653463,9.90873048480514e-89,***
HR,ENSMUSG00000026196,Bard1,25,330,43.3088099427863,1.06088664863856e-88,***
HR,ENSMUSG00000030528,Blm,25,334,24.9049477629842,1.44797379901884e-61,***
HR,ENSMUSG00000027323,Rad51,25,334,28.8102861419327,2.25103159426375e-68,***
NHEJ,ENSMUSG00000026162,Nhej1,25,334,35.0111505048639,4.88035034456617e-78,***
NHEJ,ENSMUSG00000047617,Paxx,25,334,28.1466493556565,2.92407777829783e-67,***
NHEJ,ENSMUSG00000022471,Xrcc6,25,334,84.6397656142382,2.26692505989008e-128,***
NHEJ,ENSMUSG00000026187,Xrcc5,25,334,131.09180760368,2.89662283497113e-156,***
A-EJ,ENSMUSG00000026496,Parp1,25,334,29.7096230823056,7.4063819118884e-70,***
A-EJ,ENSMUSG00000034206,Polq,25,334,32.0780377155895,1.26418498635742e-73,***
A-EJ,ENSMUSG00000056394,Lig1,25,334,46.2545528406994,7.49610989865365e-93,***
A-EJ,ENSMUSG00000020697,Lig3,25,334,78.4610490903192,1.06097114965518e-123,***
