Pathway,EnsemblID,OfficialMouseSymbol,SampleID,Group,accession,mission_cluster,YARNNormalizedLog2,YARNLinear
NER,ENSMUSG00000030094,Xpc,OSD-512::RR23_ADR_FLT_F1_techrep1,Adrenal gland,OSD-512,SpaceX-21,10.4126739859808,1362.09839003766
NER,ENSMUSG00000028426,Rad23b,OSD-512::RR23_ADR_FLT_F1_techrep1,Adrenal gland,OSD-512,SpaceX-21,12.986198401157,8113.0045778199
NER,ENSMUSG00000031347,Cetn2,OSD-512::RR23_ADR_FLT_F1_techrep1,Adrenal gland,OSD-512,SpaceX-21,10.5442201266928,1492.2294237662
NER,ENSMUSG00000021694,Ercc8,OSD-512::RR23_ADR_FLT_F1_techrep1,Adrenal gland,OSD-512,SpaceX-21,8.01705978585497,258.045154174448
NER,ENSMUSG00000054051,Ercc6,OSD-512::RR23_ADR_FLT_F1_techrep1,Adrenal gland,OSD-512,SpaceX-21,10.2459304955269,1213.31794399894
NER,ENSMUSG00000024740,Ddb1,OSD-512::RR23_ADR_FLT_F1_techrep1,Adrenal gland,OSD-512,SpaceX-21,14.642746543918,25579.3173842282
NER,ENSMUSG00000002109,Ddb2,OSD-512::RR23_ADR_FLT_F1_techrep1,Adrenal gland,OSD-512,SpaceX-21,7.96212374699055,248.366481209164
NER,ENSMUSG00000030094,Xpc,OSD-512::RR23_ADR_FLT_F2,Adrenal gland,OSD-512,SpaceX-21,10.2327887027155,1202.30671095372
NER,ENSMUSG00000028426,Rad23b,OSD-512::RR23_ADR_FLT_F2,Adrenal gland,OSD-512,SpaceX-21,13.13894603988,9019.21458849154
NER,ENSMUSG00000031347,Cetn2,OSD-512::RR23_ADR_FLT_F2,Adrenal gland,OSD-512,SpaceX-21,10.3779271867882,1329.66083944445
NER,ENSMUSG00000021694,Ercc8,OSD-512::RR23_ADR_FLT_F2,Adrenal gland,OSD-512,SpaceX-21,8.13038010625713,279.213005400907
NER,ENSMUSG00000054051,Ercc6,OSD-512::RR23_ADR_FLT_F2,Adrenal gland,OSD-512,SpaceX-21,10.0900439220438,1088.9482491921
NER,ENSMUSG00000024740,Ddb1,OSD-512::RR23_ADR_FLT_F2,Adrenal gland,OSD-512,SpaceX-21,14.5538977061102,24051.4745263167
NER,ENSMUSG00000002109,Ddb2,OSD-512::RR23_ADR_FLT_F2,Adrenal gland,OSD-512,SpaceX-21,7.36196691439583,163.502638582021
NER,ENSMUSG00000030094,Xpc,OSD-512::RR23_ADR_FLT_F3,Adrenal gland,OSD-512,SpaceX-21,10.3582074828184,1311.59623327772
NER,ENSMUSG00000028426,Rad23b,OSD-512::RR23_ADR_FLT_F3,Adrenal gland,OSD-512,SpaceX-21,12.851031002576,7387.3218682223
NER,ENSMUSG00000031347,Cetn2,OSD-512::RR23_ADR_FLT_F3,Adrenal gland,OSD-512,SpaceX-21,10.3933814835592,1343.99163382617
NER,ENSMUSG00000021694,Ercc8,OSD-512::RR23_ADR_FLT_F3,Adrenal gland,OSD-512,SpaceX-21,7.9816003003061,251.755784657632
NER,ENSMUSG00000054051,Ercc6,OSD-512::RR23_ADR_FLT_F3,Adrenal gland,OSD-512,SpaceX-21,10.0652409057812,1070.36986414035
NER,ENSMUSG00000024740,Ddb1,OSD-512::RR23_ADR_FLT_F3,Adrenal gland,OSD-512,SpaceX-21,14.6066084824057,24946.5147530584
NER,ENSMUSG00000002109,Ddb2,OSD-512::RR23_ADR_FLT_F3,Adrenal gland,OSD-512,SpaceX-21,7.94907568787186,246.121322712268
NER,ENSMUSG00000030094,Xpc,OSD-512::RR23_ADR_FLT_F4,Adrenal gland,OSD-512,SpaceX-21,9.92068964905986,968.226237097006
NER,ENSMUSG00000028426,Rad23b,OSD-512::RR23_ADR_FLT_F4,Adrenal gland,OSD-512,SpaceX-21,13.1480091854562,9076.05878600661
NER,ENSMUSG00000031347,Cetn2,OSD-512::RR23_ADR_FLT_F4,Adrenal gland,OSD-512,SpaceX-21,10.507584188322,1454.78762276458
NER,ENSMUSG00000021694,Ercc8,OSD-512::RR23_ADR_FLT_F4,Adrenal gland,OSD-512,SpaceX-21,8.31300720996531,317.027389496072
NER,ENSMUSG00000054051,Ercc6,OSD-512::RR23_ADR_FLT_F4,Adrenal gland,OSD-512,SpaceX-21,10.8784518179583,1881.52305474398
NER,ENSMUSG00000024740,Ddb1,OSD-512::RR23_ADR_FLT_F4,Adrenal gland,OSD-512,SpaceX-21,14.3936865190091,21523.4166635917
NER,ENSMUSG00000002109,Ddb2,OSD-512::RR23_ADR_FLT_F4,Adrenal gland,OSD-512,SpaceX-21,7.90099178022787,238.02070407114
NER,ENSMUSG00000030094,Xpc,OSD-512::RR23_ADR_FLT_F5,Adrenal gland,OSD-512,SpaceX-21,10.4958179555939,1442.9628956514
NER,ENSMUSG00000028426,Rad23b,OSD-512::RR23_ADR_FLT_F5,Adrenal gland,OSD-512,SpaceX-21,13.6477070554778,12833.2116126131
NER,ENSMUSG00000031347,Cetn2,OSD-512::RR23_ADR_FLT_F5,Adrenal gland,OSD-512,SpaceX-21,10.2601600603012,1225.3542442791
NER,ENSMUSG00000021694,Ercc8,OSD-512::RR23_ADR_FLT_F5,Adrenal gland,OSD-512,SpaceX-21,8.17899588223933,288.816491740806
NER,ENSMUSG00000054051,Ercc6,OSD-512::RR23_ADR_FLT_F5,Adrenal gland,OSD-512,SpaceX-21,10.2901857824991,1251.14487845023
NER,ENSMUSG00000024740,Ddb1,OSD-512::RR23_ADR_FLT_F5,Adrenal gland,OSD-512,SpaceX-21,14.4058864446844,21706.2063139456
NER,ENSMUSG00000002109,Ddb2,OSD-512::RR23_ADR_FLT_F5,Adrenal gland,OSD-512,SpaceX-21,7.99139210694125,253.477114272822
NER,ENSMUSG00000030094,Xpc,OSD-512::RR23_ADR_FLT_F6,Adrenal gland,OSD-512,SpaceX-21,10.2118192998408,1184.94328270255
NER,ENSMUSG00000028426,Rad23b,OSD-512::RR23_ADR_FLT_F6,Adrenal gland,OSD-512,SpaceX-21,12.8269357730657,7264.9502538126
NER,ENSMUSG00000031347,Cetn2,OSD-512::RR23_ADR_FLT_F6,Adrenal gland,OSD-512,SpaceX-21,10.4764413652966,1423.69893209334
NER,ENSMUSG00000021694,Ercc8,OSD-512::RR23_ADR_FLT_F6,Adrenal gland,OSD-512,SpaceX-21,8.01564876718141,257.791920572274
NER,ENSMUSG00000054051,Ercc6,OSD-512::RR23_ADR_FLT_F6,Adrenal gland,OSD-512,SpaceX-21,10.4373417083523,1385.6055341767
NER,ENSMUSG00000024740,Ddb1,OSD-512::RR23_ADR_FLT_F6,Adrenal gland,OSD-512,SpaceX-21,14.6735683521833,26131.6960640668
