family,ensembl_id,display_symbol,all_source_symbols,mgi_id,set_01_Cecum,set_02_Femoral_skin,set_03_Bone_marrow,set_04_Spleen_distal,set_05_Retina,set_06_Heart_Heart_right_ventricle
down_tissues,ENSMUSG00000000028,Cdc45,Cdc45,MGI:1338073,1,1,1,1,1,1
down_tissues,ENSMUSG00000000142,Axin2,Axin2,MGI:1270862,1,1,1,1,1,1
down_tissues,ENSMUSG00000000148,Brat1,Brat1,MGI:1891679,1,1,1,1,1,1
down_tissues,ENSMUSG00000000552,Zfp385a,Zfp385a,MGI:1352495,1,1,1,1,1,1
down_tissues,ENSMUSG00000000708,Kat2b,Kat2b,MGI:1343094,1,1,1,1,1,1
down_tissues,ENSMUSG00000000751,Rpa1,Rpa1,MGI:1915525,1,1,1,1,1,1
down_tissues,ENSMUSG00000000838,Fmr1,Fmr1,MGI:95564,1,1,1,1,1,1
down_tissues,ENSMUSG00000000884,Gnb1l,Gnb1l,MGI:1338057,1,1,1,1,1,1
down_tissues,ENSMUSG00000000902,Smarcb1,Smarcb1,MGI:1328366,1,1,1,1,1,1
down_tissues,ENSMUSG00000001100,Poldip2,Poldip2,MGI:1915061,1,1,1,1,1,1
down_tissues,ENSMUSG00000001517,Foxm1,Foxm1,MGI:1347487,1,1,1,1,1,1
down_tissues,ENSMUSG00000001524,Gtf2h4,Gtf2h4,MGI:1338799,1,1,1,1,1,1
down_tissues,ENSMUSG00000001707,Eef1e1,Eef1e1,MGI:1913393,1,1,1,1,1,1
down_tissues,ENSMUSG00000001729,Akt1,Akt1,MGI:87986,1,1,1,1,1,1
down_tissues,ENSMUSG00000001924,Uba1,Uba1,MGI:98890,1,1,1,1,1,1
down_tissues,ENSMUSG00000002076,Hsf2bp,Hsf2bp,MGI:1921627,1,1,1,0,1,1
down_tissues,ENSMUSG00000002083,Bbc3,Bbc3,MGI:2181667,1,1,1,1,1,1
down_tissues,ENSMUSG00000002105,Slc39a13,Slc39a13,MGI:1915677,1,1,1,1,1,1
down_tissues,ENSMUSG00000002109,Ddb2,Ddb2,MGI:1355314,1,1,1,1,1,1
down_tissues,ENSMUSG00000002205,Vrk3,Vrk3,MGI:2182465,1,1,1,1,1,1
down_tissues,ENSMUSG00000002221,Paxip1,Paxip1,MGI:1890430,1,1,1,1,1,1
down_tissues,ENSMUSG00000002324,Rec8,Rec8,MGI:1929645,1,1,1,1,1,1
down_tissues,ENSMUSG00000002342,Tmem161a,Tmem161a,MGI:2384577,1,1,1,1,1,1
down_tissues,ENSMUSG00000002428,Hltf,Hltf,MGI:1196437,1,1,1,1,1,1
down_tissues,ENSMUSG00000002661,Alkbh7,Alkbh7,MGI:1913650,1,1,1,1,1,1
down_tissues,ENSMUSG00000002748,Baz1b,Baz1b,MGI:1353499,1,1,1,1,1,1
down_tissues,ENSMUSG00000002814,Top3a,Top3a,MGI:1197527,1,1,1,1,1,1
down_tissues,ENSMUSG00000002833,Hdgfl2,Hdgfl2,MGI:1194492,1,1,1,1,1,1
down_tissues,ENSMUSG00000002870,Mcm2,Mcm2,MGI:105380,1,1,1,1,1,1
down_tissues,ENSMUSG00000002963,Pnkp,Pnkp,MGI:1891698,1,1,1,1,1,1
down_tissues,ENSMUSG00000003068,Stk11,Stk11,MGI:1341870,1,1,1,1,1,1
down_tissues,ENSMUSG00000003190,Bcl2l12,Bcl2l12,MGI:1922986,1,1,1,1,1,1
down_tissues,ENSMUSG00000003199,Mpnd,Mpnd,MGI:1915297,1,1,1,1,1,1
down_tissues,ENSMUSG00000003208,Yju2,Yju2,MGI:1920136,1,1,1,1,1,1
