Pathway,Group,TissueLabel,TissueOrder,n_samples,n_flight_samples,n_ground_samples,min,q1,median,mean,q3,max,n_unique_Ensembl_genes_in_GO_set
AEJ,Adrenal gland,Adrenal gland,1,28,14,14,9,9,9,9,9,9,9
BER,Adrenal gland,Adrenal gland,1,28,14,14,52,52,52,52.3214285714286,53,53,54
FA,Adrenal gland,Adrenal gland,1,28,14,14,39,39,39,39,39,39,39
HR,Adrenal gland,Adrenal gland,1,28,14,14,132,133,133,133.607142857143,134.25,135,135
MMR,Adrenal gland,Adrenal gland,1,28,14,14,26,26,27,26.5714285714286,27,27,27
NER,Adrenal gland,Adrenal gland,1,28,14,14,52,53,53,52.9642857142857,53,53,53
NHEJ,Adrenal gland,Adrenal gland,1,28,14,14,17,17,17,17,17,17,18
AEJ,Bone marrow,Bone marrow,2,12,6,6,9,9,9,9,9,9,9
BER,Bone marrow,Bone marrow,2,12,6,6,52,53,54,53.5833333333333,54,54,54
FA,Bone marrow,Bone marrow,2,12,6,6,39,39,39,39,39,39,39
HR,Bone marrow,Bone marrow,2,12,6,6,133,133,134,133.666666666667,134,134,135
MMR,Bone marrow,Bone marrow,2,12,6,6,27,27,27,27,27,27,27
NER,Bone marrow,Bone marrow,2,12,6,6,53,53,53,53,53,53,53
NHEJ,Bone marrow,Bone marrow,2,12,6,6,17,17,17,17,17,17,18
AEJ,Cecum,Cecum,3,10,5,5,9,9,9,9,9,9,9
BER,Cecum,Cecum,3,10,5,5,51,52,52,52.1,52,53,54
FA,Cecum,Cecum,3,10,5,5,36,38,39,38.4,39,39,39
HR,Cecum,Cecum,3,10,5,5,126,131.25,132,131.7,133,135,135
MMR,Cecum,Cecum,3,10,5,5,26,26,26,26.4,27,27,27
NER,Cecum,Cecum,3,10,5,5,53,53,53,53,53,53,53
NHEJ,Cecum,Cecum,3,10,5,5,17,17,17,17,17,17,18
AEJ,Cerebellum,Cerebellum,4,18,9,9,8,9,9,8.88888888888889,9,9,9
BER,Cerebellum,Cerebellum,4,18,9,9,50,51,51.5,51.4444444444445,52,52,54
FA,Cerebellum,Cerebellum,4,18,9,9,37,38,38,38.3888888888889,39,39,39
HR,Cerebellum,Cerebellum,4,18,9,9,130,131,132,131.722222222222,132,133,135
MMR,Cerebellum,Cerebellum,4,18,9,9,26,27,27,26.9444444444444,27,27,27
NER,Cerebellum,Cerebellum,4,18,9,9,52,53,53,52.8333333333333,53,53,53
NHEJ,Cerebellum,Cerebellum,4,18,9,9,17,17,17,17,17,17,18
AEJ,Colon,Colon,5,9,4,5,9,9,9,9,9,9,9
BER,Colon,Colon,5,9,4,5,53,53,53,53,53,53,54
FA,Colon,Colon,5,9,4,5,39,39,39,39,39,39,39
HR,Colon,Colon,5,9,4,5,133,133,134,133.777777777778,134,135,135
MMR,Colon,Colon,5,9,4,5,27,27,27,27,27,27,27
NER,Colon,Colon,5,9,4,5,53,53,53,53,53,53,53
NHEJ,Colon,Colon,5,9,4,5,17,17,17,17,17,17,18
AEJ,Dorsal skin,Dorsal skin,6,60,30,30,9,9,9,9,9,9,9
BER,Dorsal skin,Dorsal skin,6,60,30,30,52,52,53,52.6166666666667,53,53,54
FA,Dorsal skin,Dorsal skin,6,60,30,30,39,39,39,39,39,39,39
HR,Dorsal skin,Dorsal skin,6,60,30,30,132,134,134,134.066666666667,135,135,135
MMR,Dorsal skin,Dorsal skin,6,60,30,30,26,27,27,26.9666666666667,27,27,27
NER,Dorsal skin,Dorsal skin,6,60,30,30,53,53,53,53,53,53,53
NHEJ,Dorsal skin,Dorsal skin,6,60,30,30,17,17,17,17,17,17,18
AEJ,Extensor digitorum longus,Extensor digitorum longus,7,30,15,15,8,9,9,8.93333333333333,9,9,9
BER,Extensor digitorum longus,Extensor digitorum longus,7,30,15,15,50,52,52,52.1666666666667,53,54,54
