family,intersection_id,membership_pattern,n_genes
up_tissues,1,1111111111,834
up_tissues,2,1111111101,23
up_tissues,3,0011111101,3
up_tissues,4,1111111001,3
up_tissues,5,1111111011,3
up_tissues,6,0000011100,1
up_tissues,7,0000111101,1
up_tissues,8,0001100101,1
up_tissues,9,0001101101,1
up_tissues,10,0010000001,1
up_tissues,11,0010001101,1
up_tissues,12,0010010101,1
up_tissues,13,0010111001,1
up_tissues,14,0011001101,1
up_tissues,15,0011011001,1
up_tissues,16,0011011101,1
up_tissues,17,0011110111,1
up_tissues,18,0111111101,1
up_tissues,19,1001101000,1
up_tissues,20,1010111101,1
up_tissues,21,1011000100,1
up_tissues,22,1011111101,1
up_tissues,23,1110111101,1
up_tissues,24,1111011111,1
up_tissues,25,1111100101,1
