figure_id,kind,analysis_tissue,n_flight_samples,path,palette,label_mode
Fig_2_log2fc_fisher_z_overall,overall,ALL_INCLUDED_TISSUES,360,<temporary-render-output>/Fig_2_log2fc_fisher_z_overall.png,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_2_log2fc_fisher_z_overall,overall,ALL_INCLUDED_TISSUES,360,<temporary-render-output>/Fig_2_log2fc_fisher_z_overall.pdf,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Adrenal gland,14,<temporary-render-output>/Spearman_log2FC_Adrenal_gland.png,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Adrenal gland,14,<temporary-render-output>/Spearman_log2FC_Adrenal_gland.pdf,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Bone marrow,6,<temporary-render-output>/Spearman_log2FC_Bone_marrow.png,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Bone marrow,6,<temporary-render-output>/Spearman_log2FC_Bone_marrow.pdf,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Cecum,5,<temporary-render-output>/Spearman_log2FC_Cecum.png,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Cecum,5,<temporary-render-output>/Spearman_log2FC_Cecum.pdf,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Cerebellum,9,<temporary-render-output>/Spearman_log2FC_Cerebellum.png,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Cerebellum,9,<temporary-render-output>/Spearman_log2FC_Cerebellum.pdf,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Colon,4,<temporary-render-output>/Spearman_log2FC_Colon.png,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Colon,4,<temporary-render-output>/Spearman_log2FC_Colon.pdf,#3B6FB6 | #FFFFFF | #C65A5A,name_only
Fig_S6_per_tissue_spearman_log2fc,per_tissue,Dorsal skin,30,<temporary-render-output>/Spearman_log2FC_Dorsal_skin.png,#3B6FB6 | #FFFFFF | #C65A5A,name_only
