ensembl_id,gene_symbol,set_01_Quadriceps_femoris,set_02_Tibialis_anterior,set_03_Optic_nerve,set_04_Spleen,set_05_Femoral_lateral_skin,set_06_Left_lobe_of_the_liver,set_07_Colon,set_08_Cerebellum,set_09_Heart,set_10_Eye,intersection_degree
ENSMUSG00000000028,Cdc45,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000142,Axin2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000148,Brat1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000552,Zfp385a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000708,Kat2b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000751,Rpa1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000838,Fmr1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000884,Gnb1l,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000000902,Smarcb1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000001100,Poldip2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000001517,Foxm1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000001524,Gtf2h4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000001707,Eef1e1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000001729,Akt1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000001924,Uba1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002076,Hsf2bp,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002083,Bbc3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002105,Slc39a13,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002109,Ddb2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002205,Vrk3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002221,Paxip1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002324,Rec8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002342,Tmem161a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002428,Hltf,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002661,Alkbh7,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002748,Baz1b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002814,Top3a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002833,Hdgfl2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002870,Mcm2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000002963,Pnkp,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003068,Stk11,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003190,Bcl2l12,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003199,Mpnd,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003208,Yju2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003541,Ier3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003549,Ercc1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003680,Taf6l,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003778,Brd8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003813,Rad23a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003847,Nfat5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003868,Ruvbl2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000003873,Bax,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000004018,Fancl,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000004071,Cdip1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000004085,Map3k20,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000004221,Ikbkg,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000004446,Bid,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000004698,Hdac9,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000004934,Pias4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005087,Cd44,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005102,Eif2ak4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005125,Ndrg1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005204,Senp3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005370,Msh6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005410,Mcm5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005413,Hmox1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005493,Msh4,1,1,1,1,1,1,1,1,0,1,9
ENSMUSG00000005566,Trim28,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005718,Tfap4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005871,Apc,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000005883,Spo11,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000006288,Ttc5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000006335,Tfpt,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000006360,Crip1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000006445,Epha2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000006599,Gtf2h1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000006678,Pola1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000006818,Sod2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000007035,Msh5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000007080,Pole,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000007570,Fance,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000007646,Rad51c,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000007659,Bcl2l1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000007880,Arid1a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000008129,Brme1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000008604,Ubqln4,1,1,1,1,1,1,1,1,1,1,10
