Gene_Set_Name,Pathway_Description,Direction,n_missions,Mean_Mission_NES,Median_Mission_NES,Positive_Missions_Count,Negative_Missions_Count
HALLMARK_ANDROGEN_RESPONSE,ANDROGEN RESPONSE,Positive NES,13,0.648425597960043,0.656251889400448,11,2
HALLMARK_HYPOXIA,HYPOXIA,Positive NES,13,0.546191878200409,0.765542839580292,10,3
HALLMARK_NOTCH_SIGNALING,NOTCH SIGNALING,Positive NES,13,0.539880258748573,0.715963672172367,11,2
HALLMARK_ESTROGEN_RESPONSE_EARLY,ESTROGEN RESPONSE EARLY,Positive NES,13,0.480983672424966,0.736412999079998,10,3
HALLMARK_PROTEIN_SECRETION,PROTEIN SECRETION,Positive NES,13,0.441517634955327,0.258642864264394,9,4
HALLMARK_COMPLEMENT,COMPLEMENT,Positive NES,13,0.422499683608805,0.053929908592245,9,4
HALLMARK_SPERMATOGENESIS,SPERMATOGENESIS,Negative NES,13,-0.447719567921445,-0.674201946969142,4,9
HALLMARK_G2M_CHECKPOINT,G2M CHECKPOINT,Negative NES,13,-0.216723785595845,0.144864905964763,8,5
HALLMARK_MYOGENESIS,MYOGENESIS,Negative NES,13,-0.168458322748492,-0.14444319639187,6,7
HALLMARK_E2F_TARGETS,E2F TARGETS,Negative NES,13,-0.165691990010756,-0.0322584216342133,5,8
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXIDATIVE PHOSPHORYLATION,Negative NES,13,-0.124954205122494,-0.627185027099091,6,7
HALLMARK_DNA_REPAIR,DNA REPAIR,Negative NES,13,-0.0614623686573855,-0.29465311209698,4,9
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS,POSITIVE REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,Positive NES,13,1.01766139369788,1.13597514798843,13,0
GOBP_EPITHELIAL_CELL_DIFFERENTIATION,EPITHELIAL CELL DIFFERENTIATION,Positive NES,13,0.824241167188742,0.959338577510926,11,2
GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY,INTERLEUKIN 1 MEDIATED SIGNALING PATHWAY,Positive NES,13,0.785041120689782,0.875698895632534,11,2
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS,Positive NES,13,0.770437361020786,0.860347527169742,12,1
GOBP_ACTIN_FILAMENT_ORGANIZATION,ACTIN FILAMENT ORGANIZATION,Positive NES,13,0.757306066209891,0.845625222519627,11,2
GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION,PROTEIN LOCALIZATION TO EXTRACELLULAR REGION,Positive NES,13,0.751957496869114,0.819639910828656,12,1
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION,REGULATION OF SYNAPTIC VESICLE MEMBRANE ORGANIZATION,Negative NES,13,-0.559058465780213,-0.254633511428538,4,9
GOBP_CENTROSOME_SEPARATION,CENTROSOME SEPARATION,Negative NES,13,-0.501707622579384,-0.497487564788479,3,10
GOBP_MITOTIC_CENTROSOME_SEPARATION,MITOTIC CENTROSOME SEPARATION,Negative NES,13,-0.49520371549956,-0.372282372977747,2,11
GOBP_MEMBRANE_DISASSEMBLY,MEMBRANE DISASSEMBLY,Negative NES,13,-0.486953217615938,-0.410872824144981,3,10
GOBP_INTRACILIARY_ANTEROGRADE_TRANSPORT,INTRACILIARY ANTEROGRADE TRANSPORT,Negative NES,13,-0.461570166759675,-0.350319338809309,3,10
GOBP_GLYCINE_TRANSPORT,GLYCINE TRANSPORT,Negative NES,13,-0.45857203375852,-0.0800066926558158,5,8
REACTOME_SIGNALING_BY_NOTCH,REACTOME SIGNALING BY NOTCH,Positive NES,13,0.675059883896125,0.567177343753742,11,2
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,REACTOME P75 NTR RECEPTOR MEDIATED SIGNALLING,Positive NES,13,0.656414838704674,0.568682459626014,11,2
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX,REACTOME SYNTHESIS OF LEUKOTRIENES LT AND EOXINS EX,Positive NES,13,0.631191771312507,0.696067659518804,11,2
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,REACTOME SIGNALING BY RECEPTOR TYROSINE KINASES,Positive NES,13,0.609036055837035,0.54480710193836,12,1
REACTOME_SIGNALING_BY_NOTCH1,REACTOME SIGNALING BY NOTCH1,Positive NES,13,0.589918041525209,0.361623718695295,10,3
