Tissue,Flight_Samples_Count,Pathway_1,Pathway_2,Spearman_Rho
Adrenal gland,14,DNA_damage_response_GO0006974,DNA_repair_GO0006281,0.9296703296703296
Adrenal gland,14,DNA_damage_response_GO0006974,DNA_damage_signal_transduction_GO0042770,0.8285714285714286
Adrenal gland,14,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.3846153846153846
Adrenal gland,14,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.5604395604395604
Adrenal gland,14,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.4021978021978022
Adrenal gland,14,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.8021978021978022
Adrenal gland,14,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.8681318681318682
Adrenal gland,14,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.8945054945054945
Adrenal gland,14,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.4857142857142857
Adrenal gland,14,DNA_damage_response_GO0006974,translation_GO0006412,0.3142857142857143
Adrenal gland,14,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.1692307692307692
Adrenal gland,14,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.0021978021978021
Adrenal gland,14,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.5032967032967033
Adrenal gland,14,DNA_damage_response_GO0006974,cell_death_GO0008219,0.3274725274725275
Adrenal gland,14,DNA_repair_GO0006281,DNA_damage_signal_transduction_GO0042770,0.6571428571428571
Adrenal gland,14,DNA_repair_GO0006281,intrinsic_apoptotic_signaling_GO0008630,0.2307692307692307
Adrenal gland,14,DNA_repair_GO0006281,DNA_damage_tolerance_GO0006301,0.7098901098901099
Adrenal gland,14,DNA_repair_GO0006281,telomere_maintenance_GO0043247,0.5736263736263736
Adrenal gland,14,DNA_repair_GO0006281,telomere_region_GO0000781,0.8549450549450549
Adrenal gland,14,DNA_repair_GO0006281,cell_cycle_GO0007049,0.7538461538461538
Adrenal gland,14,DNA_repair_GO0006281,DNA_replication_GO0006260,0.9164835164835164
Adrenal gland,14,DNA_repair_GO0006281,DNA_templated_transcription_GO0006351,0.2483516483516483
Adrenal gland,14,DNA_repair_GO0006281,translation_GO0006412,0.1956043956043956
Adrenal gland,14,DNA_repair_GO0006281,mitochondrion_GO0005739,0.112087912087912
Adrenal gland,14,DNA_repair_GO0006281,mechanosensation_GO0050954,-0.0901098901098901
Adrenal gland,14,DNA_repair_GO0006281,cytoskeleton_GO0005856,0.4549450549450549
Adrenal gland,14,DNA_repair_GO0006281,cell_death_GO0008219,0.1428571428571428
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,intrinsic_apoptotic_signaling_GO0008630,0.4945054945054945
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,DNA_damage_tolerance_GO0006301,0.5076923076923077
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,telomere_maintenance_GO0043247,0.178021978021978
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,telomere_region_GO0000781,0.5428571428571428
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,cell_cycle_GO0007049,0.7582417582417582
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,DNA_replication_GO0006260,0.7098901098901099
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,DNA_templated_transcription_GO0006351,0.6527472527472528
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,translation_GO0006412,0.2791208791208791
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,mitochondrion_GO0005739,0.0241758241758241
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,mechanosensation_GO0050954,0.0021978021978021
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,cytoskeleton_GO0005856,0.3626373626373626
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,cell_death_GO0008219,0.3978021978021978
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,DNA_damage_tolerance_GO0006301,-0.0285714285714285
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,telomere_maintenance_GO0043247,-0.3098901098901099
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,telomere_region_GO0000781,0.0989010989010989
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,cell_cycle_GO0007049,0.5912087912087912
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,DNA_replication_GO0006260,0.3318681318681318
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,DNA_templated_transcription_GO0006351,0.5472527472527473
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,translation_GO0006412,0.5032967032967033
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,mitochondrion_GO0005739,0.367032967032967
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,mechanosensation_GO0050954,0.5384615384615384
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,cytoskeleton_GO0005856,0.4021978021978022
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,cell_death_GO0008219,0.8021978021978022
Adrenal gland,14,DNA_damage_tolerance_GO0006301,telomere_maintenance_GO0043247,0.4593406593406593
Adrenal gland,14,DNA_damage_tolerance_GO0006301,telomere_region_GO0000781,0.5340659340659341
Adrenal gland,14,DNA_damage_tolerance_GO0006301,cell_cycle_GO0007049,0.4241758241758241
Adrenal gland,14,DNA_damage_tolerance_GO0006301,DNA_replication_GO0006260,0.6483516483516484
Adrenal gland,14,DNA_damage_tolerance_GO0006301,DNA_templated_transcription_GO0006351,-0.1208791208791208
Adrenal gland,14,DNA_damage_tolerance_GO0006301,translation_GO0006412,-0.1076923076923077
Adrenal gland,14,DNA_damage_tolerance_GO0006301,mitochondrion_GO0005739,-0.2659340659340659
Adrenal gland,14,DNA_damage_tolerance_GO0006301,mechanosensation_GO0050954,-0.5164835164835165
Adrenal gland,14,DNA_damage_tolerance_GO0006301,cytoskeleton_GO0005856,0.112087912087912
Adrenal gland,14,DNA_damage_tolerance_GO0006301,cell_death_GO0008219,-0.2307692307692307
Adrenal gland,14,telomere_maintenance_GO0043247,telomere_region_GO0000781,0.5384615384615384
Adrenal gland,14,telomere_maintenance_GO0043247,cell_cycle_GO0007049,0.1164835164835164
Adrenal gland,14,telomere_maintenance_GO0043247,DNA_replication_GO0006260,0.4461538461538462
