Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Baseline_Log2_Expression,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Adrenal gland,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.9535855439254,0.0968641191843189,0.124107089441726,0.497353097783831,2,2,14
Bone marrow,NHEJ,ENSMUSG00000022672,Prkdc,19090,9.38061440241754,-0.216614635313626,0.0712335745371917,0.247421334279037,1,1,6
Cecum,NHEJ,ENSMUSG00000022672,Prkdc,19090,9.18428520139357,-0.264016544230682,0.0257552255602207,0.93861791633411,1,1,5
Cerebellum,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.9946397280758,0.0064720745015756,0.929158542614122,0.990142813090806,1,1,9
Colon,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.8581371851985,-0.0857571270250898,0.561906979097277,1.0,1,1,4
Dorsal skin,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.2889589702855,-0.0721887784995981,0.168099266720952,1.0,2,5,30
Extensor digitorum longus,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.4748343376535,-0.028372867245444,0.686379474493897,0.875381251192123,2,2,15
Eye,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.6751483567786,0.0608882012508002,0.224440366462238,0.999687556394716,2,2,11
Femoral lateral skin,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.1350321756654,-0.0074767508302147,0.895457456249975,0.99231046308686,1,1,9
Femoral skin,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.0986060286983,0.134949463046457,0.185555588641015,1.0,1,1,2
Gastrocnemius,NHEJ,ENSMUSG00000022672,Prkdc,19090,7.93788583836841,0.616480849937558,0.21748244971387,1.0,1,2,10
Heart,NHEJ,ENSMUSG00000022672,Prkdc,19090,7.87610365658777,0.205427587693063,0.342582396765457,0.925905574613707,1,1,3
Heart / Heart right ventricle,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.1132576633054,0.0915612563630208,0.392649715689397,1.0,1,2,10
Kidney,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.9858098171738,-0.0684605890375089,0.964503090925573,1.0,4,9,55
Left lobe of the liver,NHEJ,ENSMUSG00000022672,Prkdc,19090,9.36685249140345,0.252426383591532,0.0148949084184827,0.181420817387864,2,3,24
Liver,NHEJ,ENSMUSG00000022672,Prkdc,19090,8.8438905971372,-0.0346674479490425,0.874880159989096,1.0,3,5,19
Lung,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.8521539265049,0.0150154178350634,0.794965540198773,1.0,1,2,14
Mammary gland,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.1574353479998,0.123415676108637,0.198732740179721,0.682066914559646,1,2,10
Optic nerve,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.3172215195652,0.0762794080732425,0.583503568941022,1.0,1,1,5
Quadriceps femoris,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.8644467933848,0.300276496640384,2.70765832704721e-05,0.0005396810283104,1,1,9
Retina,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.7421278435292,0.035449046065796,0.328531383506814,0.741438127737049,4,4,27
Soleus,NHEJ,ENSMUSG00000022672,Prkdc,19090,9.11500401860603,-0.138263328976921,0.207699762766984,0.384132118713625,3,3,18
Spleen,NHEJ,ENSMUSG00000022672,Prkdc,19090,11.1680474528575,-0.0664943449605583,0.385442172307665,0.97918364414427,1,1,9
Spleen-distal,NHEJ,ENSMUSG00000022672,Prkdc,19090,7.03418270698382,-0.151613882878575,0.429785576727092,0.993779040229482,1,1,10
Thymus,NHEJ,ENSMUSG00000022672,Prkdc,19090,9.64664502036049,-0.19330461343106,0.0349660198174262,0.153913188102938,3,4,23
Tibialis anterior,NHEJ,ENSMUSG00000022672,Prkdc,19090,10.3675458865946,0.152181538520793,0.0297623604141007,0.21805169754165,1,1,9
Adrenal gland,NHEJ,ENSMUSG00000022471,Xrcc6,14375,11.9472241858032,0.108599841428908,0.0122315865249805,0.160377816878827,2,2,14
Bone marrow,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.06215513766689,-0.445545165702617,5.68608191174073e-05,0.0012112676816638,1,1,6
Cecum,NHEJ,ENSMUSG00000022471,Xrcc6,14375,7.32931862036998,-0.201081386377418,0.260443148576979,1.0,1,1,5
Cerebellum,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.34900966557444,-0.0749832053563797,0.371487043567968,0.82227916296219,1,1,9
Colon,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.86493970970736,-0.0292225086504685,0.878960593290921,1.0,1,1,4
Dorsal skin,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.16594106789777,0.042579394798728,0.79312389743094,1.0,2,5,30
Extensor digitorum longus,NHEJ,ENSMUSG00000022471,Xrcc6,14375,10.296995940331,-0.131404303459834,0.003500607954031,0.0342137690780804,2,2,15
Eye,NHEJ,ENSMUSG00000022471,Xrcc6,14375,10.3000606238122,0.147323014018996,0.086201424874658,0.988592777200093,2,2,11
Femoral lateral skin,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.29095080184201,0.115781096247463,0.314111114139857,0.915134104621833,1,1,9
Femoral skin,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.97493562522462,-0.0603245435904049,0.656073472287532,1.0,1,1,2
Gastrocnemius,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.03034377068262,0.0331776670957098,0.865874793372692,1.0,1,2,10
Heart,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.529802828885,-0.207288745585483,0.280709831202929,0.909380221030789,1,1,3
Heart / Heart right ventricle,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.9933905689688,-0.0739006524441506,0.470250899562363,1.0,1,2,10
Kidney,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.83929388367471,0.0137154025213711,0.102774262909788,0.578305822640654,4,9,55
Left lobe of the liver,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.3654051441695,0.0007757248303948,0.995321020035783,1.0,2,3,24
Liver,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.71167272123235,0.110900423201808,0.170065230733703,1.0,3,5,19
Lung,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.30653897057907,0.0704059679055511,0.494316685540588,1.0,1,2,14
Mammary gland,NHEJ,ENSMUSG00000022471,Xrcc6,14375,10.1198310323205,0.391379446429437,0.0079581258453797,0.263034599171467,1,2,10
Optic nerve,NHEJ,ENSMUSG00000022471,Xrcc6,14375,9.53866338664723,-0.0182659734355967,0.925921455157162,1.0,1,1,5
Quadriceps femoris,NHEJ,ENSMUSG00000022471,Xrcc6,14375,10.4452536565288,0.0179876972280989,0.808401828471996,0.916549055471605,1,1,9
Retina,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.97399147968933,-0.030722014249195,0.355613455793435,0.762042734088578,4,4,27
Soleus,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.99952760941269,-0.196861633957128,0.0012932343102609,0.0084362179192372,3,3,18
Spleen,NHEJ,ENSMUSG00000022471,Xrcc6,14375,8.87348663738762,-0.0218402187216531,0.884922479201206,0.999085092509181,1,1,9
Spleen-distal,NHEJ,ENSMUSG00000022471,Xrcc6,14375,6.62305827699988,0.107222330027732,0.522672094637444,0.993779040229482,1,1,10
Thymus,NHEJ,ENSMUSG00000022471,Xrcc6,14375,10.9580366214866,-0.2910321645052,0.0084811495148057,0.0589863112806539,3,4,23
Tibialis anterior,NHEJ,ENSMUSG00000022471,Xrcc6,14375,10.3425909952937,-0.136340326336312,0.022182734401609,0.180554830824993,1,1,9
Adrenal gland,NHEJ,ENSMUSG00000026187,Xrcc5,22596,10.4744916602,0.185020505527786,0.063249240685495,0.369829662715905,2,2,14
Bone marrow,NHEJ,ENSMUSG00000026187,Xrcc5,22596,7.11218223701616,0.141621899230608,0.263762249540312,0.540167726209367,1,1,6
Cecum,NHEJ,ENSMUSG00000026187,Xrcc5,22596,7.45110324521437,-0.0886802009047521,0.647852250897799,1.0,1,1,5
Cerebellum,NHEJ,ENSMUSG00000026187,Xrcc5,22596,9.89303626542174,0.21438045542157,0.0056637548708078,0.104940565745407,1,1,9
Colon,NHEJ,ENSMUSG00000026187,Xrcc5,22596,8.95058127704233,-0.100207176525974,0.695448011751662,1.0,1,1,4
Dorsal skin,NHEJ,ENSMUSG00000026187,Xrcc5,22596,9.4792451713344,-0.0454127970362465,0.552463542207207,1.0,2,5,30
Extensor digitorum longus,NHEJ,ENSMUSG00000026187,Xrcc5,22596,10.5394446141841,-0.264158531092121,2.19585436729006e-05,0.0006234392393812,2,2,15
