term_order,term_key,source_term_name,display_name,go_id,axis_label
1,DNA_damage_response_GO0006974,DNA damage response,DNA damage response,GO:0006974,"DNA damage
response
GO:0006974"
2,DNA_repair_GO0006281,DNA repair,DNA repair,GO:0006281,"DNA repair
GO:0006281"
3,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,Signal transduction in response to DNA damage,GO:0042770,"Signal
transduction
in response
to DNA damage
GO:0042770"
4,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,Intrinsic apoptotic signaling,GO:0008630,"Intrinsic
apoptotic
signaling
GO:0008630"
5,DNA_damage_tolerance_GO0006301,DNA damage tolerance,DNA damage tolerance,GO:0006301,"DNA damage
tolerance
GO:0006301"
6,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,Telomere maintenance in response to DNA damage,GO:0043247,"Telomere
maintenance
in response
to DNA damage
GO:0043247"
7,telomere_region_GO0000781,"Chromosome, telomeric region",Telomeric region,GO:0000781,"Telomeric
region
GO:0000781"
8,cell_cycle_GO0007049,Cell cycle,Cell cycle,GO:0007049,"Cell cycle
GO:0007049"
9,DNA_replication_GO0006260,DNA replication,DNA replication,GO:0006260,"DNA
replication
GO:0006260"
10,DNA_templated_transcription_GO0006351,DNA-templated transcription,DNA-templated transcription,GO:0006351,"DNA-templated
transcription
GO:0006351"
11,translation_GO0006412,Translation,Translation,GO:0006412,"Translation
GO:0006412"
12,mitochondrion_GO0005739,Mitochondrion,Mitochondrion,GO:0005739,"Mitochondrion
GO:0005739"
13,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,Sensory perception of mechanical stimulus,GO:0050954,"Sensory
perception of
mechanical
stimulus
GO:0050954"
14,cytoskeleton_GO0005856,Cytoskeleton,Cytoskeleton,GO:0005856,"Cytoskeleton
GO:0005856"
15,cell_death_GO0008219,Cell death,Cell death,GO:0008219,"Cell death
GO:0008219"
