figure,role,hex
Fig_1b,age_01,#FDE333
Fig_1b,age_02,#D4E02D
Fig_1b,age_03,#A6DA42
Fig_1b,age_04,#73D25B
Fig_1b,age_05,#25C771
Fig_1b,age_06,#00BA82
Fig_1b,age_07,#00AC8E
Fig_1b,age_08,#009B95
Fig_1b,age_09,#008A98
Fig_1b,age_10,#007796
Fig_1b,age_11,#006290
Fig_1b,age_12,#1E4D85
Fig_1b,age_13,#3C3777
Fig_1b,age_14,#471D67
Fig_1b,age_15,#4B0055
Fig_1c,high,#B94343
Fig_1c,low,#2F5F9E
Fig_1c,mid,#F7F8F7
Fig_3a,intersection,#C65A5A
Fig_3a,panel,#F4F6F8
Fig_3b,high,#B64342
Fig_3b,low,#3775BA
Fig_3b,mid,#F7F7F7
Fig_4a,high,#B2182B
Fig_4a,low,#2166AC
Fig_4a,mid,#F7F7F7
Fig_4e,high,#C65A5A
Fig_4e,low,#3B6FB6
Fig_4e,mid,#FFFFFF
Fig_5a,high,#B2182B
Fig_5a,low,#2166AC
Fig_5a,mid,#F7F7F7
Fig_5f,high,#C65A5A
Fig_5f,low,#3B6FB6
Fig_5f,mid,#FFFFFF
Fig_S1,negative,#3B6FB6
Fig_S1,positive,#C65A5A
Fig_S1,segment,#9AA6B2
Fig_S2a,intersection,#C65A5A
Fig_S2a,panel,#F4F6F8
Fig_S2b,high,#B64342
Fig_S2b,low,#3775BA
Fig_S2b,mid,#F7F7F7
Fig_S3a,intersection,#C65A5A
Fig_S3a,panel,#F4F6F8
Fig_S3b,high,#B64342
Fig_S3b,low,#3775BA
Fig_S3b,mid,#F7F7F7
Fig_S4a,intersection,#C65A5A
Fig_S4a,panel,#F4F6F8
Fig_S4b,high,#B64342
Fig_S4b,low,#3775BA
Fig_S4b,mid,#F7F7F7
Fig_S5,Flight,#D55E00
Fig_S5,Ground,#0072B2
