Pathway,EnsemblID,Symbol,Df_group,Df_residual,F_value,P_value,Significance
NHEJ,ENSMUSG00000026162,Nhej1,25,334,40.5689324316167,9.79937548932406e-86,***
NHEJ,ENSMUSG00000047617,Paxx,25,334,20.2195775699421,1.77520838208817e-52,***
NHEJ,ENSMUSG00000022471,Xrcc6,25,334,34.9534355222017,5.9262752692789e-78,***
NHEJ,ENSMUSG00000026187,Xrcc5,25,334,117.182082129001,5.63793859559923e-149,***
HR,ENSMUSG00000017146,Brca1,25,330,30.6495901795741,5.55108812773032e-71,***
HR,ENSMUSG00000026196,Bard1,25,330,52.5927428774274,2.15839744634922e-99,***
HR,ENSMUSG00000030528,Blm,25,334,38.5786711244775,4.52441145523519e-83,***
HR,ENSMUSG00000027323,Rad51,25,334,31.9069044026763,2.33175777335993e-73,***
A-EJ,ENSMUSG00000026496,Parp1,25,334,34.7273147089163,1.27091868234917e-77,***
A-EJ,ENSMUSG00000034206,Polq,25,334,29.9120376995866,3.4669691949909e-70,***
A-EJ,ENSMUSG00000056394,Lig1,25,334,33.4306925440854,1.08020724914562e-75,***
A-EJ,ENSMUSG00000020697,Lig3,25,334,85.2340405878993,8.34975432384799e-129,***
BER,ENSMUSG00000029591,Ung,25,334,27.2656536718944,9.34918842135708e-66,***
BER,ENSMUSG00000030271,Ogg1,25,334,44.784640973086,4.45896559981485e-91,***
BER,ENSMUSG00000032298,Neil1,25,334,21.2848692787461,1.21212433156257e-54,***
NER,ENSMUSG00000030094,Xpc,25,334,56.396268464322,4.83222366775663e-104,***
NER,ENSMUSG00000028426,Rad23b,25,334,36.4982523108058,3.53464860240378e-80,***
NER,ENSMUSG00000031347,Cetn2,25,334,34.761524163875,1.13212476922531e-77,***
NER,ENSMUSG00000024740,Ddb1,25,334,48.6128165372059,1.30386834023746e-95,***
NER,ENSMUSG00000002109,Ddb2,25,334,36.0936612203661,1.33179736789715e-79,***
NER,ENSMUSG00000054051,Ercc6,25,334,53.8121027731485,2.38019276574006e-101,***
NER,ENSMUSG00000021694,Ercc8,25,334,42.2039161440843,7.46130657990042e-88,***
MMR,ENSMUSG00000024151,Msh2,25,334,54.7940507145204,2.19662264252744e-102,***
MMR,ENSMUSG00000014850,Msh3,25,334,35.3243511823409,1.70804006008903e-78,***
FA,ENSMUSG00000034023,Fancd2,25,327,28.2507405593165,8.400150124203e-67,***
FA,ENSMUSG00000039187,Fanci,25,330,29.5491555960564,3.23939675040728e-69,***
