Pathway,Group,Gene,Mean,SD,Q1,Q3,Ymin,Ymax,N
NHEJ,Adrenal gland,Xrcc6,2631.35640239031,639.015138563603,2179.41148688025,3313.40884055771,1881.52305474398,3643.78753441219,14
NHEJ,Adrenal gland,Xrcc5,958.184269671908,182.998212533845,842.846561994162,1045.62060119415,686.235033570589,1300.16272589778,14
NHEJ,Adrenal gland,Nhej1,225.925110171782,35.6656372287429,199.452495325973,246.332181748079,170.359575055425,287.977437268678,14
NHEJ,Adrenal gland,Paxx,703.185125103211,143.468205870259,584.494470998758,834.925280143608,536.804893769112,933.165896267289,14
NHEJ,Bone marrow,Xrcc6,647.687977593895,85.5449760285878,633.10756632269,711.421604873442,515.636508496561,730.238824281392,6
NHEJ,Bone marrow,Xrcc5,175.023342623112,21.3924584195733,164.628930711333,182.670769912341,141.902017187425,203.488406349094,6
NHEJ,Bone marrow,Nhej1,159.441486733589,22.510749793175,148.11984741907,162.217413116339,133.731417768251,183.363761662243,6
NHEJ,Bone marrow,Paxx,235.53996376408,34.7979669752835,217.929761806953,263.603846266513,179.161728273702,267.719275767954,6
NHEJ,Cecum,Xrcc6,221.606808709488,20.989580207277,207.091576905169,221.690846768653,202.800328455328,243.58975156388,5
NHEJ,Cecum,Xrcc5,247.556539213454,58.7644090160676,197.316353758006,295.351505726537,173.133787729791,301.982704270674,5
NHEJ,Cecum,Nhej1,36.4372594918894,16.7611084435347,36.5327441214067,42.9483056891944,26.9094017697251,52.571648040876,5
NHEJ,Cecum,Paxx,77.6621422595316,9.57049299603463,71.1869844117287,83.8512138514129,65.2490268840624,89.082481387501,5
NHEJ,Cerebellum,Xrcc6,621.835998185546,59.5356108784582,575.516209277754,668.904940952326,530.946211253627,695.008207662894,9
NHEJ,Cerebellum,Xrcc5,883.344171308119,69.9966216847821,859.704770516373,898.725454406995,801.173744680441,957.256480242927,9
NHEJ,Cerebellum,Nhej1,60.9388136727586,21.2120396352102,51.6136697630509,59.8664422421811,39.2406835802004,72.2456009608765,9
NHEJ,Cerebellum,Paxx,674.513126852601,112.265503084094,569.13625894261,705.662278565828,559.580515163377,873.725960301788,9
NHEJ,Colon,Xrcc6,431.134899812207,58.011649339724,406.479695681763,468.883950978059,352.337351483841,483.744754069756,4
NHEJ,Colon,Xrcc5,457.856346153575,63.8525479792469,414.898621920674,503.123754438522,386.013056439487,525.080267763574,4
NHEJ,Colon,Nhej1,84.0501676815896,21.9327821621714,74.1707659150465,97.8223054938533,54.9148119490347,105.400051322704,4
NHEJ,Colon,Paxx,237.1377123425,18.2711751082785,229.509296439909,248.224868788732,212.527611142019,254.830332455697,4
NHEJ,Dorsal skin,Xrcc6,512.346125025582,172.712757667502,399.697930836089,593.112154515284,291.133675382576,883.233490034076,30
NHEJ,Dorsal skin,Xrcc5,654.847481977972,178.169101059639,519.831148172458,813.173154465473,374.304221989058,1057.33941232088,30
NHEJ,Dorsal skin,Nhej1,60.8567843375597,11.4751008790234,54.0314191178358,65.81124091302,43.4578397431868,83.4809736057962,30
NHEJ,Dorsal skin,Paxx,203.140110649695,75.707887335083,136.272171909349,250.759224175507,80.9846772135271,357.282249550111,30
NHEJ,Extensor digitorum longus,Xrcc6,1200.78658186152,244.638749291634,973.902910704367,1350.56522246751,860.478446732276,1635.2872965133,15
NHEJ,Extensor digitorum longus,Xrcc5,1381.3559957481,233.576017649803,1169.10652605937,1550.23213103818,1032.28604168557,1801.72489284912,15
