Group,TissueLabel,TissueOrder,Pathway,n_unique_Ensembl_genes_in_GO_set,n_samples,n_flight_samples,n_ground_samples,min,q1,median,mean,q3,max
Adrenal gland,Adrenal gland,1,AEJ,9,28,14,14,9,9,9,9,9,9
Adrenal gland,Adrenal gland,1,BER,54,28,14,14,52,52,52,52.3214285714286,53,53
Adrenal gland,Adrenal gland,1,FA,39,28,14,14,39,39,39,39,39,39
Adrenal gland,Adrenal gland,1,HR,135,28,14,14,132,133,133,133.607142857143,134.25,135
Adrenal gland,Adrenal gland,1,MMR,27,28,14,14,26,26,27,26.5714285714286,27,27
Adrenal gland,Adrenal gland,1,NER,53,28,14,14,52,53,53,52.9642857142857,53,53
Adrenal gland,Adrenal gland,1,NHEJ,18,28,14,14,17,17,17,17,17,17
Bone marrow,Bone marrow,2,AEJ,9,12,6,6,9,9,9,9,9,9
Bone marrow,Bone marrow,2,BER,54,12,6,6,52,53,54,53.5833333333333,54,54
Bone marrow,Bone marrow,2,FA,39,12,6,6,39,39,39,39,39,39
Bone marrow,Bone marrow,2,HR,135,12,6,6,133,133,134,133.666666666667,134,134
Bone marrow,Bone marrow,2,MMR,27,12,6,6,27,27,27,27,27,27
Bone marrow,Bone marrow,2,NER,53,12,6,6,53,53,53,53,53,53
Bone marrow,Bone marrow,2,NHEJ,18,12,6,6,17,17,17,17,17,17
Cecum,Cecum,3,AEJ,9,10,5,5,9,9,9,9,9,9
Cecum,Cecum,3,BER,54,10,5,5,51,52,52,52.1,52,53
Cecum,Cecum,3,FA,39,10,5,5,36,38,39,38.4,39,39
Cecum,Cecum,3,HR,135,10,5,5,126,131.25,132,131.7,133,135
Cecum,Cecum,3,MMR,27,10,5,5,26,26,26,26.4,27,27
Cecum,Cecum,3,NER,53,10,5,5,53,53,53,53,53,53
Cecum,Cecum,3,NHEJ,18,10,5,5,17,17,17,17,17,17
Cerebellum,Cerebellum,4,AEJ,9,18,9,9,8,9,9,8.88888888888889,9,9
Cerebellum,Cerebellum,4,BER,54,18,9,9,50,51,51.5,51.4444444444445,52,52
Cerebellum,Cerebellum,4,FA,39,18,9,9,37,38,38,38.3888888888889,39,39
Cerebellum,Cerebellum,4,HR,135,18,9,9,130,131,132,131.722222222222,132,133
Cerebellum,Cerebellum,4,MMR,27,18,9,9,26,27,27,26.9444444444444,27,27
Cerebellum,Cerebellum,4,NER,53,18,9,9,52,53,53,52.8333333333333,53,53
Cerebellum,Cerebellum,4,NHEJ,18,18,9,9,17,17,17,17,17,17
Colon,Colon,5,AEJ,9,9,4,5,9,9,9,9,9,9
Colon,Colon,5,BER,54,9,4,5,53,53,53,53,53,53
Colon,Colon,5,FA,39,9,4,5,39,39,39,39,39,39
Colon,Colon,5,HR,135,9,4,5,133,133,134,133.777777777778,134,135
Colon,Colon,5,MMR,27,9,4,5,27,27,27,27,27,27
Colon,Colon,5,NER,53,9,4,5,53,53,53,53,53,53
Colon,Colon,5,NHEJ,18,9,4,5,17,17,17,17,17,17
Dorsal skin,Dorsal skin,6,AEJ,9,60,30,30,9,9,9,9,9,9
Dorsal skin,Dorsal skin,6,BER,54,60,30,30,52,52,53,52.6166666666667,53,53
Dorsal skin,Dorsal skin,6,FA,39,60,30,30,39,39,39,39,39,39
Dorsal skin,Dorsal skin,6,HR,135,60,30,30,132,134,134,134.066666666667,135,135
Dorsal skin,Dorsal skin,6,MMR,27,60,30,30,26,27,27,26.9666666666667,27,27
Dorsal skin,Dorsal skin,6,NER,53,60,30,30,53,53,53,53,53,53
Dorsal skin,Dorsal skin,6,NHEJ,18,60,30,30,17,17,17,17,17,17
Extensor digitorum longus,Extensor digitorum longus,7,AEJ,9,30,15,15,8,9,9,8.93333333333333,9,9
Extensor digitorum longus,Extensor digitorum longus,7,BER,54,30,15,15,50,52,52,52.1666666666667,53,54
Extensor digitorum longus,Extensor digitorum longus,7,FA,39,30,15,15,37,37,38,37.9,38,39
Extensor digitorum longus,Extensor digitorum longus,7,HR,135,30,15,15,127,128.25,130,129.366666666667,130,131
Extensor digitorum longus,Extensor digitorum longus,7,MMR,27,30,15,15,25,26,27,26.5,27,27
Extensor digitorum longus,Extensor digitorum longus,7,NER,53,30,15,15,52,53,53,52.9,53,53
Extensor digitorum longus,Extensor digitorum longus,7,NHEJ,18,30,15,15,17,17,17,17,17,17
Eye,Eye,8,AEJ,9,22,11,11,9,9,9,9,9,9
Eye,Eye,8,BER,54,22,11,11,52,53,53,52.7727272727273,53,53
Eye,Eye,8,FA,39,22,11,11,39,39,39,39,39,39
Eye,Eye,8,HR,135,22,11,11,133,134,134,134.272727272727,135,135
Eye,Eye,8,MMR,27,22,11,11,27,27,27,27,27,27
Eye,Eye,8,NER,53,22,11,11,53,53,53,53,53,53
Eye,Eye,8,NHEJ,18,22,11,11,17,17,17,17,17,17
Femoral lateral skin,Femoral lateral skin,9,AEJ,9,19,9,10,9,9,9,9,9,9
Femoral lateral skin,Femoral lateral skin,9,BER,54,19,9,10,52,53,53,52.8947368421053,53,53
Femoral lateral skin,Femoral lateral skin,9,FA,39,19,9,10,39,39,39,39,39,39
Femoral lateral skin,Femoral lateral skin,9,HR,135,19,9,10,132,134,134,133.736842105263,134,134
Femoral lateral skin,Femoral lateral skin,9,MMR,27,19,9,10,27,27,27,27,27,27
Femoral lateral skin,Femoral lateral skin,9,NER,53,19,9,10,53,53,53,53,53,53
Femoral lateral skin,Femoral lateral skin,9,NHEJ,18,19,9,10,17,17,17,17,17,17
Femoral skin,Femoral skin,10,AEJ,9,5,2,3,9,9,9,9,9,9
Femoral skin,Femoral skin,10,BER,54,5,2,3,53,53,53,53,53,53
Femoral skin,Femoral skin,10,FA,39,5,2,3,39,39,39,39,39,39
Femoral skin,Femoral skin,10,HR,135,5,2,3,134,134,134,134,134,134
Femoral skin,Femoral skin,10,MMR,27,5,2,3,27,27,27,27,27,27
Femoral skin,Femoral skin,10,NER,53,5,2,3,53,53,53,53,53,53
Femoral skin,Femoral skin,10,NHEJ,18,5,2,3,17,17,17,17,17,17
Gastrocnemius,Gastrocnemius,11,AEJ,9,24,10,14,5,7,8,7.83333333333333,9,9
Gastrocnemius,Gastrocnemius,11,BER,54,24,10,14,38,44,49,47.875,52.25,53
Gastrocnemius,Gastrocnemius,11,FA,39,24,10,14,16,20.75,31.5,29.125,37.25,38
Gastrocnemius,Gastrocnemius,11,HR,135,24,10,14,80,98.5,117.5,112.416666666667,128,129
Gastrocnemius,Gastrocnemius,11,MMR,27,24,10,14,20,22,24.5,24.2083333333333,27,27
Gastrocnemius,Gastrocnemius,11,NER,53,24,10,14,39,47,52,49.7916666666667,53,53
Gastrocnemius,Gastrocnemius,11,NHEJ,18,24,10,14,12,16,17,16.2916666666667,17,17
Heart,Heart,12,AEJ,9,6,3,3,9,9,9,9,9,9
Heart,Heart,12,BER,54,6,3,3,51,51.25,52,51.6666666666667,52,52
Heart,Heart,12,FA,39,6,3,3,38,39,39,38.8333333333333,39,39
Heart,Heart,12,HR,135,6,3,3,127,127.25,128,128,128.75,129
Heart,Heart,12,MMR,27,6,3,3,25,25.25,26,25.6666666666667,26,26
Heart,Heart,12,NER,53,6,3,3,52,52,52,52,52,52
Heart,Heart,12,NHEJ,18,6,3,3,17,17,17,17,17,17
Heart / Heart right ventricle,Heart right ventricle,13,AEJ,9,30,10,20,9,9,9,9,9,9
Heart / Heart right ventricle,Heart right ventricle,13,BER,54,30,10,20,51,51,52,52,53,53
Heart / Heart right ventricle,Heart right ventricle,13,FA,39,30,10,20,38,39,39,38.9666666666667,39,39
Heart / Heart right ventricle,Heart right ventricle,13,HR,135,30,10,20,131,132.25,133,132.933333333333,134,134
Heart / Heart right ventricle,Heart right ventricle,13,MMR,27,30,10,20,26,26,27,26.5333333333333,27,27
Heart / Heart right ventricle,Heart right ventricle,13,NER,53,30,10,20,52,53,53,52.9666666666667,53,53
Heart / Heart right ventricle,Heart right ventricle,13,NHEJ,18,30,10,20,17,17,17,17.0333333333333,17,18
Kidney,Kidney,14,AEJ,9,119,55,64,8,9,9,8.99159663865546,9,9
Kidney,Kidney,14,BER,54,119,55,64,51,52,52,52.1764705882353,52.5,53
Kidney,Kidney,14,FA,39,119,55,64,37,39,39,38.8655462184874,39,39
Kidney,Kidney,14,HR,135,119,55,64,128,132,133,132.563025210084,134,134
Kidney,Kidney,14,MMR,27,119,55,64,26,26,27,26.5378151260504,27,27
Kidney,Kidney,14,NER,53,119,55,64,52,53,53,52.8487394957983,53,53
Kidney,Kidney,14,NHEJ,18,119,55,64,17,17,17,17.0504201680672,17,18
