family,set_name,dataset_id,analysis_unit_id,accession,analysis_tissue,n_flight_samples,n_control_samples,flight_samples,control_samples
up_tissues,Quadriceps femoris,OSD-666,OSD-666,OSD-666,Quadriceps femoris,9,9,RR23_R-Quad_FLT_F1_techrep1;RR23_R-Quad_FLT_F2;RR23_R-Quad_FLT_F3;RR23_R-Quad_FLT_F4;RR23_R-Quad_FLT_F5;RR23_R-Quad_FLT_F6;RR23_R-Quad_FLT_F7;RR23_R-Quad_FLT_F8;RR23_R-Quad_FLT_F9,RR23_R-Quad_GC_G1_techrep1;RR23_R-Quad_GC_G2;RR23_R-Quad_GC_G3;RR23_R-Quad_GC_G4;RR23_R-Quad_GC_G5;RR23_R-Quad_GC_G6;RR23_R-Quad_GC_G7;RR23_R-Quad_GC_G8;RR23_R-Quad_GC_G9
up_tissues,Tibialis anterior,OSD-576,OSD-576,OSD-576,Tibialis anterior,9,9,RR23_R-TA_FLT_F1;RR23_R-TA_FLT_F2;RR23_R-TA_FLT_F3;RR23_R-TA_FLT_F4;RR23_R-TA_FLT_F5;RR23_R-TA_FLT_F6;RR23_R-TA_FLT_F7;RR23_R-TA_FLT_F8;RR23_R-TA_FLT_F9,RR23_R-TA_GC_G1;RR23_R-TA_GC_G2;RR23_R-TA_GC_G3;RR23_R-TA_GC_G4;RR23_R-TA_GC_G5;RR23_R-TA_GC_G6;RR23_R-TA_GC_G7;RR23_R-TA_GC_G8;RR23_R-TA_GC_G9
up_tissues,Optic nerve,OSD-759,OSD-759,OSD-759,Optic nerve,5,12,MHU-8_ON_FLT_FLT05;MHU-8_ON_FLT_FLT09;MHU-8_ON_FLT_FLT13;MHU-8_ON_FLT_FLT17;MHU-8_ON_FLT_FLT21,MHU-8_ON_HGC_HGC01;MHU-8_ON_HGC_HGC02;MHU-8_ON_HGC_HGC03;MHU-8_ON_HGC_HGC04;MHU-8_ON_HGC_HGC05;MHU-8_ON_HGC_HGC06;MHU-8_ON_HGC_HGC07;MHU-8_ON_HGC_HGC08;MHU-8_ON_HGC_HGC09;MHU-8_ON_HGC_HGC10;MHU-8_ON_HGC_HGC11;MHU-8_ON_HGC_HGC12
up_tissues,Spleen,OSD-506,OSD-506,OSD-506,Spleen,9,8,RR23_SPL_FLT_F1;RR23_SPL_FLT_F2;RR23_SPL_FLT_F3;RR23_SPL_FLT_F4;RR23_SPL_FLT_F5;RR23_SPL_FLT_F6;RR23_SPL_FLT_F7;RR23_SPL_FLT_F8;RR23_SPL_FLT_F9,RR23_SPL_GC_G1;RR23_SPL_GC_G2;RR23_SPL_GC_G3;RR23_SPL_GC_G4;RR23_SPL_GC_G6_techrep1;RR23_SPL_GC_G7;RR23_SPL_GC_G8;RR23_SPL_GC_G9
up_tissues,Femoral lateral skin,OSD-241,OSD-241,OSD-241,Femoral lateral skin,9,10,Mmus_BAL-TAL_FSKN_FLT_Rep1_F1;Mmus_BAL-TAL_FSKN_FLT_Rep2_F2;Mmus_BAL-TAL_FSKN_FLT_Rep3_F3;Mmus_BAL-TAL_FSKN_FLT_Rep4_F4;Mmus_BAL-TAL_FSKN_FLT_Rep5_F5;Mmus_BAL-TAL_FSKN_FLT_Rep6_F6;Mmus_BAL-TAL_FSKN_FLT_Rep7_F7;Mmus_BAL-TAL_FSKN_FLT_Rep8_F9;Mmus_BAL-TAL_FSKN_FLT_Rep9_F10,Mmus_BAL-TAL_FSKN_GC_Rep1_G1;Mmus_BAL-TAL_FSKN_GC_Rep2_G2;Mmus_BAL-TAL_FSKN_GC_Rep3_G3;Mmus_BAL-TAL_FSKN_GC_Rep4_G4;Mmus_BAL-TAL_FSKN_GC_Rep5_G5;Mmus_BAL-TAL_FSKN_GC_Rep6_G6;Mmus_BAL-TAL_FSKN_GC_Rep7_G7;Mmus_BAL-TAL_FSKN_GC_Rep8_G8;Mmus_BAL-TAL_FSKN_GC_Rep9_G9;Mmus_BAL-TAL_FSKN_GC_Rep10_G10
up_tissues,Left lobe of the liver,OSD-379,OSD-379;OSD-379__age_32w,OSD-379,Left lobe of the liver,15,15,RR8_LVR_FLT_LAR_YNG_FL1;RR8_LVR_FLT_LAR_YNG_FL2;RR8_LVR_FLT_LAR_YNG_FL5;RR8_LVR_FLT_LAR_YNG_FL6;RR8_LVR_FLT_LAR_YNG_FL13;RR8_LVR_FLT_LAR_YNG_FL14;RR8_LVR_FLT_LAR_YNG_FL17;RR8_LVR_FLT_LAR_YNG_FL18;RR8_LVR_FLT_LAR_OLD_FL3;RR8_LVR_FLT_LAR_OLD_FL4;RR8_LVR_FLT_LAR_OLD_FL7;RR8_LVR_FLT_LAR_OLD_FL8;RR8_LVR_FLT_LAR_OLD_FL11;RR8_LVR_FLT_LAR_OLD_FL15;RR8_LVR_FLT_LAR_OLD_FL16,RR8_LVR_GC_LAR_YNG_GL1;RR8_LVR_GC_LAR_YNG_GL2;RR8_LVR_GC_LAR_YNG_GL5;RR8_LVR_GC_LAR_YNG_GL6;RR8_LVR_GC_LAR_YNG_GL13;RR8_LVR_GC_LAR_YNG_GL14;RR8_LVR_GC_LAR_YNG_GL17;RR8_LVR_GC_LAR_YNG_GL18;RR8_LVR_GC_LAR_OLD_GL3;RR8_LVR_GC_LAR_OLD_GL4;RR8_LVR_GC_LAR_OLD_GL7;RR8_LVR_GC_LAR_OLD_GL8;RR8_LVR_GC_LAR_OLD_GL11;RR8_LVR_GC_LAR_OLD_GL12;RR8_LVR_GC_LAR_OLD_GL15
up_tissues,Left lobe of the liver,OSD-463,OSD-463,OSD-463,Left lobe of the liver,9,9,RR23_LVR_FLT_F1;RR23_LVR_FLT_F2;RR23_LVR_FLT_F3;RR23_LVR_FLT_F4;RR23_LVR_FLT_F5;RR23_LVR_FLT_F6;RR23_LVR_FLT_F7_techrep1;RR23_LVR_FLT_F8_techrep1;RR23_LVR_FLT_F9,RR23_LVR_GC_G1_techrep1;RR23_LVR_GC_G2;RR23_LVR_GC_G3;RR23_LVR_GC_G4;RR23_LVR_GC_G5;RR23_LVR_GC_G6;RR23_LVR_GC_G7;RR23_LVR_GC_G8;RR23_LVR_GC_G9
up_tissues,Colon,OSD-667,OSD-667,OSD-667,Colon,4,5,RR10_CLN_FLT_WT_F3;RR10_CLN_FLT_WT_F7;RR10_CLN_FLT_WT_F12;RR10_CLN_FLT_WT_F16,RR10_CLN_GC_WT_G3;RR10_CLN_GC_WT_G7;RR10_CLN_GC_WT_G12;RR10_CLN_GC_WT_G16;RR10_CLN_GC_WT_G20
up_tissues,Cerebellum,OSD-525,OSD-525,OSD-525,Cerebellum,9,9,RR23_Cb_FLT_F1_techrep1;RR23_Cb_FLT_F2;RR23_Cb_FLT_F3;RR23_Cb_FLT_F4;RR23_Cb_FLT_F5;RR23_Cb_FLT_F6;RR23_Cb_FLT_F7;RR23_Cb_FLT_F8;RR23_Cb_FLT_F9,RR23_Cb_GC_G1_techrep1;RR23_Cb_GC_G2;RR23_Cb_GC_G3;RR23_Cb_GC_G4;RR23_Cb_GC_G5;RR23_Cb_GC_G6;RR23_Cb_GC_G7;RR23_Cb_GC_G8;RR23_Cb_GC_G9
up_tissues,Heart,OSD-599,OSD-599,OSD-599,Heart,3,3,GSM6996080;GSM6996081;GSM6996082,GSM6996077;GSM6996078;GSM6996079
up_tissues,Eye,OSD-100,OSD-100,OSD-100,Eye,6,6,Mmus_C57-6J_EYE_FLT_Rep1_M23;Mmus_C57-6J_EYE_FLT_Rep2_M24;Mmus_C57-6J_EYE_FLT_Rep3_M25;Mmus_C57-6J_EYE_FLT_Rep4_M26;Mmus_C57-6J_EYE_FLT_Rep5_M27;Mmus_C57-6J_EYE_FLT_Rep6_M28,Mmus_C57-6J_EYE_GC_Rep1_M33;Mmus_C57-6J_EYE_GC_Rep2_M34;Mmus_C57-6J_EYE_GC_Rep3_M35;Mmus_C57-6J_EYE_GC_Rep4_M36;Mmus_C57-6J_EYE_GC_Rep5_M37;Mmus_C57-6J_EYE_GC_Rep6_M38
up_tissues,Eye,OSD-162,OSD-162,OSD-162,Eye,5,5,Mmus_BAL-TAL_EYE_FLT_Rep1_F1;Mmus_BAL-TAL_EYE_FLT_Rep2_F2;Mmus_BAL-TAL_EYE_FLT_Rep3_F3;Mmus_BAL-TAL_EYE_FLT_Rep4_F4;Mmus_BAL-TAL_EYE_FLT_Rep5_F5,Mmus_BAL-TAL_EYE_GC_Rep1_G1;Mmus_BAL-TAL_EYE_GC_Rep2_G2;Mmus_BAL-TAL_EYE_GC_Rep3_G4;Mmus_BAL-TAL_EYE_GC_Rep4_G5;Mmus_BAL-TAL_EYE_GC_Rep5_G7
down_tissues,Cecum,OSD-899,OSD-899,OSD-899,Cecum,5,5,RR10_CEC_FLT_WT_F3;RR10_CEC_FLT_WT_F7;RR10_CEC_FLT_WT_F12;RR10_CEC_FLT_WT_F16;RR10_CEC_FLT_WT_F20,RR10_CEC_GC_WT_G3;RR10_CEC_GC_WT_G7;RR10_CEC_GC_WT_G12;RR10_CEC_GC_WT_G16;RR10_CEC_GC_WT_G20
down_tissues,Femoral skin,OSD-239,OSD-239,OSD-239,Femoral skin,2,3,Mmus_C57-6J_FSKN_FLT_uG_JC_Rep1_F2;Mmus_C57-6J_FSKN_FLT_uG_JC_Rep2_F9,Mmus_C57-6J_FSKN_GC_1G_JC_Rep1_G5;Mmus_C57-6J_FSKN_GC_1G_JC_Rep2_G6;Mmus_C57-6J_FSKN_GC_1G_JC_Rep3_G12
down_tissues,Bone marrow,OSD-690,OSD-690,OSD-690,Bone marrow,6,6,GSM7706834;GSM7706835;GSM7706836;GSM7706837;GSM7706838;GSM7706839,GSM7706822;GSM7706823;GSM7706824;GSM7706825;GSM7706826;GSM7706827
down_tissues,Spleen-distal,OSD-420,OSD-420,OSD-420,Spleen-distal,10,10,RR9_SPL_FLT_F1;RR9_SPL_FLT_F6;RR9_SPL_FLT_F7;RR9_SPL_FLT_F3;RR9_SPL_FLT_F9;RR9_SPL_FLT_F5;RR9_SPL_FLT_F2;RR9_SPL_FLT_F8;RR9_SPL_FLT_F4;RR9_SPL_FLT_F10,RR9_SPL_GC_G4;RR9_SPL_GC_G10;RR9_SPL_GC_G1;RR9_SPL_GC_G7;RR9_SPL_GC_G2;RR9_SPL_GC_G6;RR9_SPL_GC_G9;RR9_SPL_GC_G5;RR9_SPL_GC_G8;RR9_SPL_GC_G3
down_tissues,Retina,OSD-194,OSD-194,OSD-194,Retina,5,4,Mmus_BAL-TAL_LRTN_FLT_Rep1_F6;Mmus_BAL-TAL_LRTN_FLT_Rep2_F7;Mmus_BAL-TAL_LRTN_FLT_Rep3_F8;Mmus_BAL-TAL_LRTN_FLT_Rep4_F9;Mmus_BAL-TAL_LRTN_FLT_Rep5_F10,Mmus_BAL-TAL_LRTN_GC_Rep1_G6;Mmus_BAL-TAL_LRTN_GC_Rep2_G8;Mmus_BAL-TAL_LRTN_GC_Rep3_G9;Mmus_BAL-TAL_RRTN_GC_Rep4_G10
down_tissues,Retina,OSD-255,OSD-255,OSD-255,Retina,8,8,GSM3932701;GSM3932702;GSM3932703;GSM3932704;GSM3932705;GSM3932706;GSM3932707;GSM3932708,GSM3932693;GSM3932694;GSM3932695;GSM3932696;GSM3932697;GSM3932698;GSM3932699;GSM3932700
down_tissues,Retina,OSD-397,OSD-397,OSD-397,Retina,9,7,M21;M22;M23;M24;M25;M26;M27;M29;M30,M31;M32;M33;M34;M35;M36;M37
down_tissues,Retina,OSD-758,OSD-758,OSD-758,Retina,5,12,MHU-8_RTN_FLT_FLT05;MHU-8_RTN_FLT_FLT09;MHU-8_RTN_FLT_FLT13;MHU-8_RTN_FLT_FLT17;MHU-8_RTN_FLT_FLT21,MHU-8_RTN_HGC_HGC01;MHU-8_RTN_HGC_HGC02;MHU-8_RTN_HGC_HGC03;MHU-8_RTN_HGC_HGC04;MHU-8_RTN_HGC_HGC05;MHU-8_RTN_HGC_HGC06;MHU-8_RTN_HGC_HGC07;MHU-8_RTN_HGC_HGC08;MHU-8_RTN_HGC_HGC09;MHU-8_RTN_HGC_HGC10;MHU-8_RTN_HGC_HGC11;MHU-8_RTN_HGC_HGC12
