主分析顺序,Accession,关联编号,物种,原tissue英文,组织归类,主分析配置组织大类,strict_tissue,主分析mission,主分析天数,Study Title,实验场景（地面/微重力/太空）,辐照,Mission汇总,Payload汇总,Sample数量,Publication数量,OSDR链接,主分析DE文件,主分析logFC列,方向校正sign,strict_tissue_rule,curation_note,原始Material Type
1,OSD-47,GLDS-47 LSDS-29,Mus musculus,Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-4,34,"Rodent Research-1 (RR1) National Lab Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",太空,否,SpaceX-4 (09/21/2014-10/25/2014; 34天),RR-1 (Rodent Research 1); Space Flight,16,2,https://osdr.nasa.gov/bio/repo/data/studies/OSD-47,GLDS-47_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Liver
2,OSD-48,GLDS-48 LSDS-2,Mus musculus,Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-4,34,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",太空,否,SpaceX-4 (9/21/14-10/25/2014; 34天),RR-1 (Rodent Research 1); Space Flight,32,4,https://osdr.nasa.gov/bio/repo/data/studies/OSD-48,GLDS-48_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & Upon euthanasia)v(Space Flight & Upon euthanasia),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Liver
3,OSD-99,GLDS-99,Mus musculus,Extensor digitorum longus- both sides,肌肉,肌肉,Extensor digitorum longus,SpaceX-4,34,Rodent Research-1 (RR1) NASA Validation Flight: Mouse extensor digitorum longus muscle transcriptomic and epigenomic data,太空,否,SpaceX-4 (09/21/2014-10/25/2014; 34天),RR-1 (Rodent Research 1); Space Flight,18,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-99,GLDS-99_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Extensor digitorum longus- both sides
4,OSD-100,GLDS-100,Mus musculus,left eye,眼/视网膜,眼/视网膜,Eye,SpaceX-4,34,Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data,太空,否,SpaceX-4 (9/21/14-10/25/14; 34天),RR-1 (Rodent Research 1); Space Flight,12,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-100,GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,left eye
5,OSD-101,GLDS-101,Mus musculus,Not Applicable | Left gastrocnemius,肌肉,肌肉,Gastrocnemius,SpaceX-4,34,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data",太空,否,SpaceX-4 (9/21/14-10/25/14; 34天),RR-1 (Rodent Research 1); Space Flight,16,2,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101,GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Not Applicable | Left gastrocnemius
6,OSD-104,GLDS-104,Mus musculus,Soleus-both sides,肌肉,肌肉,Soleus,SpaceX-4,34,Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data,太空,否,SpaceX-4 (9/21/14-10/25/14; 34天),RR-1 (Rodent Research 1); Space Flight,12,2,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104,GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Soleus-both sides
7,OSD-137,GLDS-137 LSDS-28,Mus musculus,Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-8,33,"Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data",太空,否,SpaceX-8 (4/8/2016-5/11/2016; 33天),RR-3 (Rodent Research 3); Space Flight,19,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-137,GLDS-137_rna_seq_differential_expression.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Liver
8,OSD-161,GLDS-161,Mus musculus,Adrenal gland | Not applicable,肾脏/泌尿,肾脏/泌尿,Adrenal gland,SpaceX-8,33,"Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",太空,否,SpaceX-8 (04/08/2016-05/11/2016; 33天),RR-3 (Rodent Research 3); Space Flight,33,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-161,GLDS-161_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Adrenal gland | Not applicable
9,OSD-163,GLDS-163,Mus musculus,Left kidney,肾脏/泌尿,肾脏/泌尿,Kidney,SpaceX-8,33,"Rodent Research-3-CASIS: Mouse kidney transcriptomic, proteomic, and epigenomic data",太空,否,SpaceX-8 (04/08/2016-05/11/2016; 33天),RR-3 (Rodent Research 3); Space Flight,19,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-163,GLDS-163_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Left kidney
10,OSD-194,GLDS-194,Mus musculus,Left retina | Right retina,眼/视网膜,眼/视网膜,Retina,SpaceX-8,33,Rodent Research-3-CASIS: Mouse retina transcriptomic data,太空,否,SpaceX-8 (04/08/2016-05/11/2016; 33天),RR-3 (Rodent Research 3); Space Flight,13,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-194,GLDS-194_rna_seq_differential_expression.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Left retina | Right retina
11,OSD-240,GLDS-240,Mus musculus,dorsal skin,皮肤,皮肤,Dorsal skin,SpaceX-11,30,Transcriptional analysis of dorsal skin from mice flown on the RR-5 mission,太空,否,SpaceX-11 (06/03/2017-07/03/2017; 30天),RR-5 (Rodent Research 5); Space Flight,20,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-240,GLDS-240_rna_seq_differential_expression.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,dorsal skin
12,OSD-241,GLDS-241,Mus musculus,femoral lateral skin,皮肤,皮肤,Femoral lateral skin,SpaceX-11,30,Transcriptional analysis of femoral skin from mice flown on the RR-5 mission,太空,否,SpaceX-11 (06/03/2017-07/03/2017; 30天),RR-5 (Rodent Research 5); Space Flight,19,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-241,GLDS-241_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,femoral lateral skin
13,OSD-242,GLDS-242,Mus musculus,Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-12,34,Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis,太空,否,SpaceX-12 (08/14/2017-09/17/2017; 34天),RR-9 (Rodent Research 9); Space Flight,23,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-242,GLDS-242_rna_seq_differential_expression.csv,Log2fc_(FLT_C1)v(GC_C2),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Liver
14,OSD-253,GLDS-253,Mus musculus,Left kidney,肾脏/泌尿,肾脏/泌尿,Kidney,SpaceX-15,35,Transcriptional analysis of kidneys from mice flown on the RR-7 mission,太空,否,SpaceX-15 (06/29/2018-08/03/2018; 35天),RR-7 (Rodent Research 7); Space Flight,112,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-253,GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(C57BL/6J & Ground Control Rerun & ~25 day & White light)v(C57BL/6J & Space Flight & ~25 day & White light),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Left kidney
15,OSD-254,GLDS-254,Mus musculus,dorsal skin,皮肤,皮肤,Dorsal skin,SpaceX-15,35,Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission,太空,否,SpaceX-15 (29-Jun-2018-03-Aug-2018; 35天),—,80,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-254,GLDS-254_rna_seq_differential_expression.csv,Log2fc_(Ground Control & C57BL/6J & ~25)v(Space Flight & C57BL/6J & ~25),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,dorsal skin
16,OSD-255,GLDS-255,Mus musculus,Right retina,眼/视网膜,眼/视网膜,Retina,SpaceX-12,34,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",太空,否,SpaceX-12 (08/14/2017-09/17/2017; 34天),RR-9 (Rodent Research 9); Space Flight,16,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-255,GLDS-255_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right retina
17,OSD-379,GLDS-379,Mus musculus,Left Lobe of the Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-16,40,Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1),太空,否,SpaceX-16 (12/05/2018-01/14/2019; 40天),RRRM-1 (RR-8) (Rodent Research Reference Mission 1 (Rodent Research 8)); Space Flight,141,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-379,GLDS-379_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & ~40 day & On Earth & Upon euthanasia & 10 to 12 week)v(Space Flight & ~40 day & On Earth & Upon euthanasia & 10 to 12 week),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Left Lobe of the Liver
18,OSD-397,GLDS-397,Mus musculus,Right retina | Left retina,眼/视网膜,眼/视网膜,Retina,SpaceX-4,34,Illumina NGS RNA-seq and RRBS Sequencing on Spaceflight Mouse Retina,太空,否,SpaceX-4 (9/21/14-10/25/14; 34天),RR-1 (Rodent Research 1); Space Flight,17,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-397,GLDS-397_rna_seq_differential_expression.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right retina | Left retina
19,OSD-419,GLDS-419,Mus musculus,Right gastrocnemius,肌肉,肌肉,Gastrocnemius,SpaceX-4,34,Transcriptional profiling of the right gastrocnemius muscle from mice flown on the RR-1 mission,太空,否,SpaceX-4 (09/21/2014-10/25/2014; 34天),RR-1 (Rodent Research 1); Space Flight,12,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-419,GLDS-419_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right gastrocnemius
20,OSD-421,GLDS-421,Mus musculus,thymus,胸腺,胸腺,Thymus,SpaceX-12,34,Transcriptional profiling of thymus from mice flown on the RR-9 mission,太空,否,SpaceX-12 (08/14/2017-09/17/2017; 34天),RR-9 (Rodent Research 9); Space Flight,20,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-421,GLDS-421_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,thymus
21,OSD-462,GLDS-462,Mus musculus,Left kidney,肾脏/泌尿,肾脏/泌尿,Kidney,SpaceX-21,39,"Transcriptional profiling, protein expression profiling, and phosphoprotein profiling of kidneys from mice flown on the RR-10 mission",太空,否,SpaceX-21 (12/05/2020-01/13/2021; 39天),RR-10 (Rodent Research 10); Space Flight,58,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-462,GLDS-462_rna_seq_differential_expression_mRNA_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Left kidney
22,OSD-463,GLDS-463,Mus musculus,Left Lobe of the Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-21,39,Transcriptional profiling of livers from mice flown on the RR-23 mission,太空,否,SpaceX-21 (12/05/2020-01/13/2021; 39天),RR-23 (Rodent Research 23); Space Flight,31,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-463,GLDS-463_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Left Lobe of the Liver
23,OSD-464,GLDS-464,Mus musculus,Left Lung,肺/呼吸道,肺/呼吸道,Lung,SpaceX-21,39,Transcriptional profiling of lungs from mice flown on the RR-23 mission,太空,否,SpaceX-21 (12/5/20-1/13/21; 39天),RR-23 (Rodent Research 23); Space Flight,28,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-464,GLDS-464_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Left Lung
24,OSD-506,GLDS-506,Mus musculus,Spleen,脾脏,脾脏,Spleen,SpaceX-21,39,Transcriptional profiling of spleens from mice flown on the RR-23 mission,太空,否,SpaceX-21 (12/05/2020-01/13/2021; 39天),RR-23 (Rodent Research 23); Space Flight,28,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-506,GLDS-506_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Spleen
