broad_tissue_category,original_material_type,accession,analysis_tissue,tissue_definition,normalization_rule,mapping_source,included_in_exact_go_analysis,n_analysis_units,n_biological_experiments,n_missions
眼/视网膜,left eye,OSD-100,Eye,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肌肉,Not Applicable | Left gastrocnemius,OSD-101,Gastrocnemius,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肌肉,Soleus-both sides,OSD-104,Soleus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肝脏/代谢,Liver,OSD-137,Liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肾脏/泌尿,Adrenal gland | Not applicable,OSD-161,Adrenal gland,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
眼/视网膜,eye,OSD-162,Eye,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肾脏/泌尿,Left kidney,OSD-163,Kidney,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肝脏/代谢,Liver,OSD-168,Liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,False,0,0,0
眼/视网膜,Left retina | Right retina,OSD-194,Retina,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
皮肤,femoral skin,OSD-239,Femoral skin,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
皮肤,dorsal skin,OSD-240,Dorsal skin,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
皮肤,femoral lateral skin,OSD-241,Femoral lateral skin,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肝脏/代谢,Liver,OSD-242,Liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肾脏/泌尿,Left kidney,OSD-253,Kidney,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,4,1,1
皮肤,dorsal skin,OSD-254,Dorsal skin,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,4,1,1
眼/视网膜,Right retina,OSD-255,Retina,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
胸腺,thymus,OSD-289,Thymus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,2,2,2
肝脏/代谢,Left Lobe of the Liver,OSD-379,Left lobe of the liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,2,1,1
眼/视网膜,Right retina | Left retina,OSD-397,Retina,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肌肉,Right gastrocnemius,OSD-419,Gastrocnemius,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
脾脏,Spleen-distal,OSD-420,Spleen-distal,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
胸腺,thymus,OSD-421,Thymus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肾脏/泌尿,Left kidney,OSD-462,Kidney,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肝脏/代谢,Left Lobe of the Liver,OSD-463,Left lobe of the liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肺/呼吸道,Left Lung,OSD-464,Lung,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肝脏/代谢,Liver,OSD-47,Liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肝脏/代谢,Liver,OSD-48,Liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
脾脏,Spleen,OSD-506,Spleen,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
生殖/发育,mammary gland,OSD-511,Mammary gland,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,2,1,1
肾脏/泌尿,adrenal gland,OSD-512,Adrenal gland,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肾脏/泌尿,Left kidney,OSD-513,Kidney,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
胸腺,thymus,OSD-515,Thymus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
脑/神经,Cerebellum,OSD-525,Cerebellum,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
骨/软骨/关节,Right tibialis anterior,OSD-576,Tibialis anterior,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
心血管,Heart | heart right ventricle,OSD-580,Heart / Heart right ventricle,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,2,1,1
心血管,Heart,OSD-599,Heart,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
