NES_sort_order,analysis_tissue,tissue_definition,n_biological_experiments,n_missions,DNA_damage_response_GO0006974,DNA_damage_sensing_complement,DNA_repair_GO0006281,cell_cycle_GO0007049,translation_GO0006412,DNA_templated_transcription_GO0006351,DNA_replication_GO0006260,mechanosensation_GO0050954,cytoskeleton_GO0005856,mitochondrion_GO0005739,telomere_GO0000781,cell_death_GO0008219,sorting_rule
1,Quadriceps femoris,normalized_original_material_type,1,1,1.55814259146874,1.40038535261411,1.540472865238,1.34890835897035,-1.75752708077686,1.44938569147364,1.47369007756326,-1.22493633549288,-1.04501168791488,-1.8587321025398,1.71295911759155,-1.06634829712521,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
2,Tibialis anterior,normalized_original_material_type,1,1,1.50110286470003,1.36031659263555,1.47694680853987,1.15379479948326,0.859346402079056,1.52147750122287,1.44905483676984,-1.13429032202099,-1.34262880597931,-1.04348599744202,1.3373655668669,1.06717451381866,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
3,Optic nerve,normalized_original_material_type,1,1,1.37255652903915,1.48788433714043,1.22032439842264,1.3775417262865,1.67226732057638,1.24546805260749,1.28081159473233,0.945920273780187,1.05988994919574,-1.63973040970983,1.40541712536861,1.33808360638731,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
4,Spleen,normalized_original_material_type,1,1,1.25047572257895,1.26897338584663,1.15622293219626,1.95104800287614,-2.60942759590995,-1.43771282541112,1.62002375382168,1.32456365943599,1.58484807751557,-1.57258062437604,0.872797401919395,0.979614785996248,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
5,Cerebellum,normalized_original_material_type,1,1,1.16606855900463,-1.02122810754904,1.30367073618057,1.16511370763428,-1.24167146857553,-1.37734823583169,1.20277933880954,-0.811959696752508,-1.25841432478681,0.996006745020987,1.0801422163595,-1.24354752826601,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
6,Left lobe of the liver,normalized_original_material_type,2,2,1.12511926134554,-1.16385419520941,1.34972793449324,-0.0435466176489501,1.24334383103191,0.0728537488151248,1.1925287344142,-0.51036290643358,-0.439178387990761,0.393137457987064,1.18964292486378,-0.691005486157402,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
7,Eye,normalized_original_material_type,2,2,1.08684397123853,0.053312611298276,1.2053272614625,1.17822061857612,-0.114248425951483,0.194543929378282,1.06110804630706,-1.33460992310471,-0.149284109435223,-0.0717694672478424,0.945753751030371,-0.191590199154614,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
8,Heart,normalized_original_material_type,1,1,1.05641269930228,1.08429144220033,0.949986996379848,1.11701967586245,-1.20764121970868,1.02251179185519,0.858490045944381,-1.02384137095687,1.26886032772069,1.59992232757883,0.96665901093258,-1.00552589602287,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
9,Femoral lateral skin,normalized_original_material_type,1,1,0.825812701883019,-1.15744801560889,0.911320914675759,-0.901043375512141,2.62981047498542,0.950936174179189,1.53506563730463,0.862386452141312,-1.48417578718189,2.41768406253868,-1.09690004468687,1.10056216767718,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
10,Kidney,normalized_original_material_type,5,4,0.495239780375143,0.759616289504824,0.604940060925671,0.672295478059,-1.8046246532462,1.0642858676423,0.548516287896284,0.411893924542703,1.15886276314423,-0.880571916329771,0.426064222473741,0.63916426988864,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
11,Dorsal skin,normalized_original_material_type,2,2,0.379940659747956,0.465887734793843,0.323058405598698,0.383285306693709,-1.43445159408192,0.0681603447364753,0.237865909968177,0.786156144917687,0.355289414971314,-1.53209799339328,0.316961246602693,0.0193121639516004,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
12,Extensor digitorum longus,normalized_original_material_type,2,2,0.138851611568085,1.22573080820899,0.000550001971214909,1.23017748798085,0.965503510187425,0.107329200437861,0.105281385886726,0.117546705135371,1.16854585039808,1.25542316609062,0.167926807094889,1.23548400284151,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
13,Adrenal gland,normalized_original_material_type,2,2,0.0482835748731545,-0.0923673443496,0.16360713580716,0.038995244441242,0.373749147491414,-0.0380738594683678,0.151209841116248,0.99082025925096,0.00202231656451934,1.71171985551192,-0.0537769798709524,-1.17093160309536,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
14,Lung,normalized_original_material_type,2,1,0.026936265565097,-1.08473612906633,0.909276277782254,-0.038587673956055,0.457591527137589,-0.268191531663441,0.0461075125556712,0.948888753440471,0.0910996698373854,0.718082535443112,-0.134474982448134,-0.04272895784396,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
15,Mammary gland,normalized_original_material_type,1,1,-0.262243085403013,-0.17615955898138,-1.17679363903978,-1.15043476789681,2.5289280453184,-0.0919440105425363,0.78594054096804,-1.54207244175028,-0.196764520883245,2.55568119401175,-1.38268851659309,0.0453867991660101,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
16,Soleus,normalized_original_material_type,3,3,-0.266691993589213,0.41683300734336,-0.241918167644528,-0.197909804925723,0.561089573591113,1.24904068839733,-0.00152971337821817,0.441749278249107,0.425616698342213,-1.94857262334421,-0.0614124419841017,0.43920955384037,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
17,Liver,normalized_original_material_type,5,3,-0.274256957057371,-0.554236007884327,-0.158167986435416,-0.275706416518696,0.555077751072348,0.696393037093967,-0.235118684773302,-0.790501170723139,-0.295046322243104,0.510724865042178,0.721448580527062,-1.12975204729375,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
18,Retina,normalized_original_material_type,4,4,-0.47085793551417,-0.480031734859939,0.0180677331444375,-0.0675176109031041,-1.1668533277233,-0.696532141448961,-0.119349491521203,0.0918311548583576,0.0764125052224687,-1.42522813063024,-0.444341519125133,-0.150386934996583,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
19,Gastrocnemius,normalized_original_material_type,2,1,-0.946936002116555,1.0652024161696,-1.11242652660787,-0.146137339135298,0.0791369790580884,1.01615619242908,-1.04012047598801,1.51543182921948,0.0246903887260386,0.0178947651161848,-0.0745270980899719,0.0489504256482475,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
20,Colon,normalized_original_material_type,1,1,-1.02283785176917,-0.97199686370459,-0.99141991835276,1.50955898795992,0.993732326801406,1.02464747690459,0.742903716500659,1.02093239705926,1.22863556692497,1.23840166425872,-0.982690696711408,1.20200097046019,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
21,Heart / Heart right ventricle,normalized_original_material_type,1,1,-1.12683457111046,0.237750758053746,-1.37396563850249,-1.40827730152897,-1.69290921589421,1.15586068617384,-1.61726071969038,1.0417414178772,0.0971179674171219,-1.40861728862956,-0.0371742007000832,0.139287343634362,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
22,Spleen-distal,normalized_original_material_type,1,1,-1.30988595359516,-1.01510434136943,-1.43246665285832,-1.49567683279455,-1.63699314631911,0.983964079240199,-1.64779807710379,1.19064393564015,1.22877366937705,-1.43987643231404,-1.08199357017714,1.03075661181539,mouse MGI MOD-GAF DNA damage response NES high-to-low; DNA repair tie-breaker; cell death fixed last
