analysis_unit_id,accession,input_relative_path,raw_left_label,raw_right_label,orientation_multiplier,unified_contrast_label,flight_group_label,control_group_label,n_flight_samples,n_control_samples,flight_samples,control_samples,expression_scale,score_method
OSD-47,OSD-47,02_processed_data/osdr_processed/OSD-47/GLDS-47_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,3,3,Mmus_C57-6T_LVR_FLT_Rep1_F1;Mmus_C57-6T_LVR_FLT_Rep2_F2;Mmus_C57-6T_LVR_FLT_Rep3_F4,Mmus_C57-6T_LVR_GC_Rep1_G2;Mmus_C57-6T_LVR_GC_Rep2_G3;Mmus_C57-6T_LVR_GC_Rep3_G5,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-48,OSD-48,02_processed_data/osdr_processed/OSD-48/GLDS-48_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & Upon euthanasia,Space Flight & Upon euthanasia,-1,Space Flight vs Ground,Space Flight & Upon euthanasia,Ground Control & Upon euthanasia,2,2,Mmus_C57-6J_LVR_FLT_I_Rep1_M21;Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_GC_I_Rep1_M31;Mmus_C57-6J_LVR_GC_I_Rep2_M32,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-99,OSD-99,02_processed_data/osdr_processed/OSD-99/GLDS-99_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,6,6,Mmus_C57-6J_EDL_FLT_Rep1_M23;Mmus_C57-6J_EDL_FLT_Rep2_M26;Mmus_C57-6J_EDL_FLT_Rep3_M27;Mmus_C57-6J_EDL_FLT_Rep4_M28;Mmus_C57-6J_EDL_FLT_Rep5_M29;Mmus_C57-6J_EDL_FLT_Rep6_M30,Mmus_C57-6J_EDL_GC_Rep1_M31;Mmus_C57-6J_EDL_GC_Rep2_M32;Mmus_C57-6J_EDL_GC_Rep3_M37;Mmus_C57-6J_EDL_GC_Rep4_M38;Mmus_C57-6J_EDL_GC_Rep5_M39;Mmus_C57-6J_EDL_GC_Rep6_M40,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-100,OSD-100,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,6,6,Mmus_C57-6J_EYE_FLT_Rep1_M23;Mmus_C57-6J_EYE_FLT_Rep2_M24;Mmus_C57-6J_EYE_FLT_Rep3_M25;Mmus_C57-6J_EYE_FLT_Rep4_M26;Mmus_C57-6J_EYE_FLT_Rep5_M27;Mmus_C57-6J_EYE_FLT_Rep6_M28,Mmus_C57-6J_EYE_GC_Rep1_M33;Mmus_C57-6J_EYE_GC_Rep2_M34;Mmus_C57-6J_EYE_GC_Rep3_M35;Mmus_C57-6J_EYE_GC_Rep4_M36;Mmus_C57-6J_EYE_GC_Rep5_M37;Mmus_C57-6J_EYE_GC_Rep6_M38,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-101,OSD-101,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,6,6,Mmus_C57-6J_GST_FLT_Rep1_M23;Mmus_C57-6J_GST_FLT_Rep2_M24;Mmus_C57-6J_GST_FLT_Rep3_M25;Mmus_C57-6J_GST_FLT_Rep4_M26;Mmus_C57-6J_GST_FLT_Rep5_M27;Mmus_C57-6J_GST_FLT_Rep6_M28,Mmus_C57-6J_GST_GC_Rep1_M33;Mmus_C57-6J_GST_GC_Rep2_M34;Mmus_C57-6J_GST_GC_Rep3_M35;Mmus_C57-6J_GST_GC_Rep4_M36;Mmus_C57-6J_GST_GC_Rep5_M37;Mmus_C57-6J_GST_GC_Rep6_M38,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,6,6,Mmus_C57-6J_SLS_FLT_Rep1_M23;Mmus_C57-6J_SLS_FLT_Rep2_M24;Mmus_C57-6J_SLS_FLT_Rep3_M25;Mmus_C57-6J_SLS_FLT_Rep4_M26;Mmus_C57-6J_SLS_FLT_Rep5_M27;Mmus_C57-6J_SLS_FLT_Rep6_M28,Mmus_C57-6J_SLS_GC_Rep1_M33;Mmus_C57-6J_SLS_GC_Rep2_M34;Mmus_C57-6J_SLS_GC_Rep3_M35;Mmus_C57-6J_SLS_GC_Rep4_M36;Mmus_C57-6J_SLS_GC_Rep5_M37;Mmus_C57-6J_SLS_GC_Rep6_M38,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-137,OSD-137,02_processed_data/osdr_processed/OSD-137/GLDS-137_rna_seq_differential_expression.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,6,6,Mmus_BAL-TAL_LVR_FLT_Rep1_F1;Mmus_BAL-TAL_LVR_FLT_Rep2_F2;Mmus_BAL-TAL_LVR_FLT_Rep3_F3;Mmus_BAL-TAL_LVR_FLT_Rep4_F4;Mmus_BAL-TAL_LVR_FLT_Rep5_F5;Mmus_BAL-TAL_LVR_FLT_Rep6_F6,Mmus_BAL-TAL_LVR_GC_Rep1_G1;Mmus_BAL-TAL_LVR_GC_Rep2_G2;Mmus_BAL-TAL_LVR_GC_Rep3_G3;Mmus_BAL-TAL_LVR_GC_Rep4_G5;Mmus_BAL-TAL_LVR_GC_Rep5_G6;Mmus_BAL-TAL_LVR_GC_Rep6_G7,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-161,OSD-161,02_processed_data/osdr_processed/OSD-161/GLDS-161_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,5,5,Mmus_BAL-TAL_ADR_FLT_Rep1_F1;Mmus_BAL-TAL_ADR_FLT_Rep2_F3;Mmus_BAL-TAL_ADR_FLT_Rep3_F4;Mmus_BAL-TAL_ADR_FLT_Rep4_F7;Mmus_BAL-TAL_ADR_FLT_Rep5_F8,Mmus_BAL-TAL_ADR_GC_Rep1_G1;Mmus_BAL-TAL_ADR_GC_Rep2_G3;Mmus_BAL-TAL_ADR_GC_Rep3_G4;Mmus_BAL-TAL_ADR_GC_Rep4_G7;Mmus_BAL-TAL_ADR_GC_Rep5_G8,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-163,OSD-163,02_processed_data/osdr_processed/OSD-163/GLDS-163_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,6,6,Mmus_BAL-TAL_KDN_FLT_Rep1_F2;Mmus_BAL-TAL_KDN_FLT_Rep2_F3;Mmus_BAL-TAL_KDN_FLT_Rep3_F4;Mmus_BAL-TAL_KDN_FLT_Rep4_F5;Mmus_BAL-TAL_KDN_FLT_Rep5_F6;Mmus_BAL-TAL_KDN_FLT_Rep6_F7,Mmus_BAL-TAL_KDN_GC_Rep1_G1;Mmus_BAL-TAL_KDN_GC_Rep2_G2;Mmus_BAL-TAL_KDN_GC_Rep3_G3;Mmus_BAL-TAL_KDN_GC_Rep4_G4;Mmus_BAL-TAL_KDN_GC_Rep5_G5;Mmus_BAL-TAL_KDN_GC_Rep6_G6,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-194,OSD-194,02_processed_data/osdr_processed/OSD-194/GLDS-194_rna_seq_differential_expression.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,5,4,Mmus_BAL-TAL_LRTN_FLT_Rep1_F6;Mmus_BAL-TAL_LRTN_FLT_Rep2_F7;Mmus_BAL-TAL_LRTN_FLT_Rep3_F8;Mmus_BAL-TAL_LRTN_FLT_Rep4_F9;Mmus_BAL-TAL_LRTN_FLT_Rep5_F10,Mmus_BAL-TAL_LRTN_GC_Rep1_G6;Mmus_BAL-TAL_LRTN_GC_Rep2_G8;Mmus_BAL-TAL_LRTN_GC_Rep3_G9;Mmus_BAL-TAL_RRTN_GC_Rep4_G10,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
