workspace_path,sha256,size_bytes,role
01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,8c8d264118a3225fe72c0d47fee593f57051c7828e2dc5ac78af6381312b8529,27417,curated study/tissue/contrast registry
03_analysis_results/04_dna_damage_repair_focus/current/00_original_material_tissue_mapping_audit.csv,c4f22fcf06b7c2e1df3b7eaf7c62f68c1cff76bbed55f23f0ff495d92f5cc7e5,15275,curated strict tissue identity
03_analysis_results/06_cross_tissue_integration/05_proliferation_state/tables/02_analysis_unit_expression_and_group_audit.csv,d0d56a07fc45564df8b17fc10809472a767374b39daed676b531e142d81c379a,46612,frozen sample group/column design from historical proliferation scope; not computed expression
03_analysis_results/06_cross_tissue_integration/01_four_thymus/tables/00_four_thymus_input_contrast_audit.csv,55b2b86c1a9d7afdaa97e9284a3b0cde311ef26a7e7ddf535bbceeb898aafbc4,2186,curated four thymus contrasts
03_analysis_results/11_essential_components_percentile_heatmap_20260825/tables/01_teacher_component_to_stable_id_mapping_audit.csv,078c48bf7b9f01efab373a92dbc90245e9baf58fd0720622b19a01694bb82bdb,3861,reviewed 29 component stable ID design
03_analysis_results/14_essential_components_actb_normalized_expression_heatmaps_20260826/tables/01_included_component_stable_id_mapping_audit.csv,14de9a7727ce83aef7de8eed9a7c1106991e0f72aa8903622b2634749f3d3191,11885,reviewed 75 component stable ID design; Actb values not copied
03_analysis_results/14_essential_components_actb_normalized_expression_heatmaps_20260826/tables/00_teacher_component_scope_audit.csv,6e965540e91e7dd6153e99a1bcaa5bfe1c1f21332a0042dcd0fd74c3a595c4db,3806,teacher component inclusion decisions
03_analysis_results/06_cross_tissue_integration/03_mouse_go_tissue_extended/tables/05_mouse_GO_tissue_twelve_sets_sorted_high_to_low.csv,63143c2ea3e64c7de387c7067039585000ae8985a9b67bf18dba8092cb0219a7,9977,legacy NES order input; numeric columns retained only because original reader expects table; final qsmooth tree recomputed
08_GO_annotation/mgi_mod_gaf_five_relation_20260822/manual_review/00_five_relation_multi_route_manual_decisions.csv,ebf69c237a80cc44a2fb5893f5258b056da68481feb8dc99487c7925fcc412ec,3845,manual official stable ID mapping adjudication
08_GO_annotation/mgi_mod_gaf_five_relation_20260822/00_source_manifest.csv,1c6a5634af7a2e917cb9c05ea46f65a74cd201b923fd9116913da36c5e22c5d4,1551,historical snapshot provenance
03_analysis_results/16_essential_components_yarn_qsmooth_expression_heatmaps_20260826/input/Essential_components_1_teacher_source.xlsx,b6f26629203b5695dbfdb41adf256f77fca6bcc854116615270ea0d8bd88cb7b,11074,teacher-supplied source workbook
03_analysis_results/12_essential_components_expression_log2_heatmap_20260825/tables/01_included_component_stable_id_mapping_audit.csv,51d3d40a645d694c493d44dfa75ee362af6754cfeb44755e69cfa9c8303ec783,13106,reviewed original component identity/scope contract; no expression values
03_analysis_results/12_essential_components_expression_log2_heatmap_20260825/tables/00_teacher_component_scope_audit.csv,139f861ba3efa16914f2573c5b054e607c7401a31d6e7953b1dda5c6763c598c,3966,reviewed original component identity/scope contract; no expression values
