ComponentOrder,PathwayOrder,ComponentOrderWithinPathway,Pathway,PathwayDisplay,RequestedComponent,MappingStatus,LookupMouseSymbol,DisplayComponent,EnsemblID,MGI_ID,EntrezID,OfficialMouseSymbol,GeneBiotype,Essential components,Sheet,SheetOrder,RowInSheet,Included,ExclusionReason
1,1,1,NHEJ,NHEJ,DNA-PKcs,reviewed teacher label/alias -> official mouse symbol,Prkdc,Prkdc,ENSMUSG00000022672,MGI:104779,19090,Prkdc,protein_coding,DNA-PKcs,DSB,1,1,TRUE,""
2,1,2,NHEJ,NHEJ,Ku70,reviewed teacher label/alias -> official mouse symbol,Xrcc6,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,Xrcc6,protein_coding,Ku70,DSB,1,2,TRUE,""
3,1,3,NHEJ,NHEJ,Ku80,reviewed teacher label/alias -> official mouse symbol,Xrcc5,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,Xrcc5,protein_coding,Ku80,DSB,1,3,TRUE,""
4,1,4,NHEJ,NHEJ,XLF,reviewed teacher label/alias -> official mouse symbol,Nhej1,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,Nhej1,protein_coding,XLF,DSB,1,4,TRUE,""
5,1,5,NHEJ,NHEJ,PAXX,reviewed teacher label/alias -> official mouse symbol,Paxx,Paxx,ENSMUSG00000047617,MGI:2442831,227622,Paxx,protein_coding,PAXX,DSB,1,5,TRUE,""
6,1,6,NHEJ,NHEJ,XRCC4,reviewed teacher label/alias -> official mouse symbol,Xrcc4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,Xrcc4,protein_coding,XRCC4,DSB,1,6,TRUE,""
7,1,7,NHEJ,NHEJ,Ligase IV,reviewed teacher label/alias -> official mouse symbol,Lig4,Lig4,ENSMUSG00000049717,MGI:1335098,319583,Lig4,protein_coding,Ligase IV,DSB,1,7,TRUE,""
8,2,1,HR,HR,PRA1,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,Rpa1,protein_coding,PRA1,DSB,1,8,TRUE,""
9,2,2,HR,HR,PRA2,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa2,Rpa2,ENSMUSG00000028884,MGI:1339939,19891,Rpa2,protein_coding,PRA2,DSB,1,9,TRUE,""
10,2,3,HR,HR,PRA3,teacher PRA label interpreted as RPA subunit (RPA1/RPA2/RPA3),Rpa3,Rpa3,ENSMUSG00000012483,MGI:1915490,68240,Rpa3,protein_coding,PRA3,DSB,1,10,TRUE,""
11,2,4,HR,HR,BRCA1,reviewed teacher label/alias -> official mouse symbol,Brca1,Brca1,ENSMUSG00000017146,MGI:104537,12189,Brca1,protein_coding,BRCA1,DSB,1,11,TRUE,""
12,2,5,HR,HR,BRCA2,reviewed teacher label/alias -> official mouse symbol,Brca2,Brca2,ENSMUSG00000041147,MGI:109337,12190,Brca2,protein_coding,BRCA2,DSB,1,12,TRUE,""
13,2,6,HR,HR,BARD1,reviewed teacher label/alias -> official mouse symbol,Bard1,Bard1,ENSMUSG00000026196,MGI:1328361,12021,Bard1,protein_coding,BARD1,DSB,1,13,TRUE,""
14,2,7,HR,HR,PALB2,reviewed teacher label/alias -> official mouse symbol,Palb2,Palb2,ENSMUSG00000044702,MGI:3040695,233826,Palb2,protein_coding,PALB2,DSB,1,14,TRUE,""
15,2,8,HR,HR,BLM,reviewed teacher label/alias -> official mouse symbol,Blm,Blm,ENSMUSG00000030528,MGI:1328362,12144,Blm,protein_coding,BLM,DSB,1,15,TRUE,""
16,2,9,HR,HR,Rad51,reviewed teacher label/alias -> official mouse symbol,Rad51,Rad51,ENSMUSG00000027323,MGI:97890,19361,Rad51,protein_coding,Rad51,DSB,1,16,TRUE,""
17,2,10,HR,HR,Rad54,reviewed teacher label/alias -> official mouse symbol,Rad54l,Rad54l,ENSMUSG00000028702,MGI:894697,19366,Rad54l,protein_coding,Rad54,DSB,1,17,TRUE,""
18,2,11,HR,HR,CtIp,reviewed teacher label/alias -> official mouse symbol,Rbbp8,Rbbp8,ENSMUSG00000041238,MGI:2442995,225182,Rbbp8,protein_coding,CtIp,DSB,1,18,TRUE,""
19,2,12,HR,HR,PolD1,reviewed teacher label/alias -> official mouse symbol,Pold1,Pold1,ENSMUSG00000038644,MGI:97741,18971,Pold1,protein_coding,PolD1,DSB,1,19,TRUE,""
